#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00105  0.96597  0.002406  0.001318  0.001805     1.826
   0.00582  0.99426  0.00197  0.98319  0.002190  0.001226  0.002036     1.786
   0.01655  0.98366  0.00366  0.98843  0.002216  0.001191  0.001827     1.861
   0.02951  0.97086  0.00567  0.98681  0.002428  0.001188  0.001339     2.043
   0.04393  0.95660  0.00787  1.19770  0.000778  0.000562  0.007161     1.384
   0.05906  0.94165  0.01015  1.12826  0.000985  0.000653  0.005019     1.508
   0.07446  0.92641  0.01242  1.10838  0.001098  0.000668  0.003860     1.644
   0.08996  0.91107  0.01466  1.10264  0.001226  0.000661  0.002699     1.856
   0.10551  0.89569  0.01688  1.07231  0.002152  0.000737  0.000374     2.918
   0.12106  0.88028  0.01905  1.09019  0.002249  0.000676  0.000165     3.328
   0.13663  0.86487  0.02119  1.09248  0.002223  0.000667  0.000165     3.333
   0.15220  0.84944  0.02329  1.09510  0.002170  0.000658  0.000183     3.300
   0.16777  0.83401  0.02535  1.09776  0.002118  0.000648  0.000202     3.269
   0.18334  0.81857  0.02738  1.10192  0.001966  0.000634  0.000303     3.102
   0.19891  0.80312  0.02936  1.10536  0.001876  0.000622  0.000367     3.018
   0.21448  0.78767  0.03131  1.10848  0.001806  0.000611  0.000421     2.958
   0.23006  0.77222  0.03322  1.11119  0.001754  0.000601  0.000459     2.921
   0.24563  0.75676  0.03510  1.11373  0.001708  0.000591  0.000493     2.891
   0.26120  0.74130  0.03693  1.11605  0.001671  0.000582  0.000520     2.872
   0.27677  0.72583  0.03873  1.11842  0.001631  0.000572  0.000550     2.849
   0.29234  0.71036  0.04049  1.12054  0.001599  0.000564  0.000572     2.837
   0.30790  0.69489  0.04221  1.12282  0.001563  0.000555  0.000602     2.818
   0.32346  0.67942  0.04389  1.12531  0.001520  0.000545  0.000644     2.789
   0.33902  0.66395  0.04553  1.12697  0.001499  0.000537  0.000653     2.791
   0.35457  0.64848  0.04712  1.12932  0.001460  0.000528  0.000693     2.767
   0.37012  0.63301  0.04868  1.13122  0.001432  0.000519  0.000716     2.758
   0.38566  0.61754  0.05019  1.13331  0.001399  0.000510  0.000750     2.742
   0.40120  0.60208  0.05166  1.13509  0.001372  0.000502  0.000773     2.734
   0.41673  0.58662  0.05309  1.13668  0.001350  0.000494  0.000787     2.734
   0.43225  0.57116  0.05446  1.13900  0.001312  0.000484  0.000837     2.710
   0.44776  0.55570  0.05579  1.14055  0.001289  0.000476  0.000855     2.707
   0.46326  0.54025  0.05707  1.14208  0.001267  0.000468  0.000873     2.706
   0.47875  0.52481  0.05830  1.14399  0.001237  0.000459  0.000909     2.694
   0.49423  0.50937  0.05948  1.14621  0.001200  0.000450  0.000967     2.670
   0.50970  0.49394  0.06060  1.14772  0.001174  0.000441  0.000998     2.662
   0.52516  0.47852  0.06167  1.14854  0.001160  0.000434  0.000995     2.676
   0.54060  0.46311  0.06267  1.15016  0.001135  0.000425  0.001026     2.670
   0.55603  0.44771  0.06362  1.15194  0.001106  0.000416  0.001069     2.659
   0.57144  0.43233  0.06450  1.15336  0.001082  0.000407  0.001097     2.656
   0.58684  0.41695  0.06532  1.15573  0.001041  0.000397  0.001185     2.625
   0.60222  0.40160  0.06606  1.15609  0.001029  0.000389  0.001174     2.643
   0.61757  0.38625  0.06674  1.15777  0.000999  0.000380  0.001229     2.630
   0.63291  0.37093  0.06734  1.15908  0.000973  0.000371  0.001271     2.625
   0.64822  0.35563  0.06786  1.16003  0.000952  0.000362  0.001294     2.629
   0.66351  0.34034  0.06830  1.16227  0.000913  0.000351  0.001403     2.598
   0.67877  0.32509  0.06865  1.16217  0.000900  0.000344  0.001385     2.621
   0.69400  0.30986  0.06891  1.16455  0.000858  0.000332  0.001518     2.584
   0.70920  0.29466  0.06907  1.16353  0.000855  0.000325  0.001447     2.628
   0.72436  0.27950  0.06914  1.16637  0.000809  0.000313  0.001610     2.585
   0.73949  0.26437  0.06910  1.16601  0.000796  0.000305  0.001587     2.612
   0.75457  0.24929  0.06895  1.16884  0.000748  0.000292  0.001795     2.561
