#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00105  0.96550  0.002407  0.001322  0.001819     1.820
   0.00582  0.99426  0.00197  0.98278  0.002190  0.001230  0.002053     1.780
   0.01655  0.98366  0.00366  0.98796  0.002215  0.001195  0.001848     1.853
   0.02951  0.97086  0.00567  0.98613  0.002424  0.001193  0.001362     2.032
   0.04393  0.95660  0.00787  1.19759  0.000779  0.000564  0.007185     1.381
   0.05906  0.94165  0.01015  1.12806  0.000985  0.000656  0.005056     1.503
   0.07446  0.92641  0.01242  1.10814  0.001096  0.000670  0.003910     1.635
   0.08996  0.91107  0.01466  1.10239  0.001220  0.000662  0.002756     1.843
   0.10551  0.89569  0.01688  1.07098  0.002137  0.000742  0.000401     2.882
   0.12106  0.88028  0.01905  1.09014  0.002245  0.000676  0.000167     3.322
   0.13663  0.86487  0.02119  1.09239  0.002222  0.000667  0.000166     3.330
   0.15220  0.84944  0.02329  1.09499  0.002171  0.000658  0.000183     3.300
   0.16777  0.83401  0.02535  1.09765  0.002119  0.000648  0.000201     3.270
   0.18334  0.81857  0.02738  1.10180  0.001968  0.000634  0.000302     3.104
   0.19891  0.80312  0.02936  1.10523  0.001878  0.000622  0.000366     3.019
   0.21448  0.78767  0.03131  1.10835  0.001808  0.000611  0.000419     2.959
   0.23006  0.77222  0.03322  1.11106  0.001756  0.000601  0.000458     2.922
   0.24563  0.75676  0.03510  1.11361  0.001710  0.000591  0.000492     2.893
   0.26120  0.74130  0.03693  1.11592  0.001672  0.000582  0.000518     2.873
   0.27677  0.72583  0.03873  1.11830  0.001632  0.000573  0.000549     2.851
   0.29234  0.71036  0.04049  1.12043  0.001600  0.000564  0.000571     2.838
   0.30790  0.69489  0.04221  1.12272  0.001564  0.000555  0.000601     2.819
   0.32346  0.67942  0.04389  1.12521  0.001521  0.000545  0.000643     2.790
   0.33902  0.66395  0.04553  1.12687  0.001500  0.000537  0.000652     2.792
   0.35457  0.64848  0.04712  1.12923  0.001461  0.000528  0.000692     2.768
   0.37012  0.63301  0.04868  1.13114  0.001433  0.000519  0.000715     2.759
   0.38566  0.61754  0.05019  1.13323  0.001400  0.000510  0.000749     2.742
   0.40120  0.60208  0.05166  1.13502  0.001373  0.000502  0.000772     2.735
   0.41673  0.58662  0.05309  1.13661  0.001351  0.000494  0.000786     2.735
   0.43225  0.57116  0.05446  1.13894  0.001313  0.000485  0.000836     2.710
   0.44776  0.55570  0.05579  1.14049  0.001290  0.000476  0.000854     2.708
   0.46326  0.54025  0.05707  1.14203  0.001267  0.000468  0.000872     2.707
   0.47875  0.52481  0.05830  1.14394  0.001238  0.000459  0.000908     2.694
   0.49423  0.50937  0.05948  1.14617  0.001201  0.000450  0.000966     2.670
   0.50970  0.49394  0.06060  1.14768  0.001175  0.000441  0.000997     2.663
   0.52516  0.47852  0.06167  1.14850  0.001161  0.000434  0.000994     2.676
   0.54060  0.46311  0.06267  1.15013  0.001135  0.000425  0.001025     2.670
   0.55603  0.44771  0.06362  1.15192  0.001106  0.000416  0.001068     2.659
   0.57144  0.43233  0.06450  1.15334  0.001082  0.000407  0.001096     2.656
   0.58684  0.41695  0.06532  1.15572  0.001042  0.000397  0.001184     2.625
   0.60222  0.40160  0.06606  1.15609  0.001030  0.000390  0.001173     2.643
   0.61757  0.38625  0.06674  1.15777  0.001000  0.000380  0.001228     2.631
   0.63291  0.37093  0.06734  1.15909  0.000974  0.000371  0.001270     2.625
   0.64822  0.35563  0.06786  1.16004  0.000952  0.000362  0.001293     2.629
   0.66351  0.34034  0.06830  1.16229  0.000913  0.000351  0.001402     2.598
   0.67877  0.32509  0.06865  1.16220  0.000901  0.000344  0.001383     2.621
   0.69400  0.30986  0.06891  1.16458  0.000859  0.000332  0.001517     2.584
   0.70920  0.29466  0.06907  1.16358  0.000855  0.000325  0.001446     2.629
   0.72436  0.27950  0.06914  1.16643  0.000810  0.000313  0.001609     2.585
   0.73949  0.26437  0.06910  1.16607  0.000796  0.000305  0.001586     2.612
   0.75457  0.24929  0.06895  1.16891  0.000748  0.000292  0.001793     2.561
   0.76960  0.23426  0.06867  1.16875  0.000722  0.000282  0.001862     2.559
   0.78458  0.21929  0.06828  1.16702  0.000715  0.000274  0.001774     2.609
   0.79950  0.20438  0.06775  1.16954  0.000671  0.000261  0.001981     2.570
   0.81434  0.18955  0.06708  1.16915  0.000649  0.000251  0.002007     2.588
   0.82910  0.17482  0.06626  1.16923  0.000629  0.000240  0.001997     2.620
   0.84374  0.16020  0.06527  1.17146  0.000596  0.000227  0.002094     2.626
   0.85824  0.14576  0.06412  1.17498  0.000551  0.000212  0.002357     2.595
   0.87250  0.13156  0.06280  1.17423  0.000563  0.000202  0.001824     2.786
   0.88635  0.11779  0.06130  1.18674  0.000492  0.000182  0.002340     2.704
   0.89946  0.10478  0.05968  1.19506  0.000511  0.000168  0.001379     3.052
   0.91137  0.09300  0.05790  1.22451  0.000348  0.000139  0.004275     2.508
   0.92241  0.08219  0.05564  1.21620  0.000298  0.000125  0.005623     2.389
   0.93304  0.07194  0.05285  1.18809  0.000276  0.000116  0.005944     2.385
   0.94337  0.06214  0.04958  1.15286  0.000247  0.000106  0.006860     2.323
   0.95337  0.05285  0.04588  1.10257  0.000235  0.000099  0.006640     2.361
   0.96292  0.04419  0.04186  1.04502  0.000203  0.000091  0.008165     2.238
   0.97183  0.03632  0.03767  0.97151  0.000213  0.000088  0.006075     2.422
   0.97991  0.02941  0.03349  0.91323  0.000169  0.000076  0.008779     2.215
   0.98704  0.02351  0.02948  0.81821  0.000176  0.000075  0.006704     2.344
   0.99320  0.01860  0.02576  0.74630  0.000151  0.000067  0.007669     2.264
   0.99848  0.01457  0.02236  0.65786  0.000143  0.000062  0.006924     2.295
   1.00299  0.01127  0.01928  0.56984  0.000129  0.000057  0.006974     2.247
   1.00688  0.00857  0.01647  0.48112  0.000121  0.000052  0.005806     2.331
   1.01027  0.00637  0.01391  0.37363  0.000103  0.000048  0.006308     2.138
   1.01324  0.00457  0.01153  0.26741  0.000123  0.000052  0.003080     2.362
   1.01589  0.00312  0.00932  0.18245  0.000085  0.000038  0.003401     2.241
   1.01827  0.00197  0.00724  0.03009  0.000075  0.000034  0.000643     2.230
   1.02043  0.00109  0.00526 -0.13315  0.000075  0.000034  0.002851     2.230
   1.02241  0.00047  0.00338 -0.30099  0.000069  0.000031  0.007094     2.213
   1.02425  0.00011  0.00158 -0.49541  0.000062  0.000028  0.013088     2.205
   1.02596  0.00000 -0.00012 -0.76133  0.000051  0.000023  0.025352     2.172
   1.02765  0.00016 -0.00181 -0.91855  0.000069  0.000028  0.017284     2.439
   1.02941  0.00065 -0.00350 -1.19030  0.000048  0.000023  0.044796     2.076
   1.03124  0.00153 -0.00511 -1.31481  0.000078  0.000030  0.018609     2.591
   1.03319  0.00281 -0.00658 -1.47520  0.000063  0.000030  0.040519     2.137
   1.03527  0.00444 -0.00787 -1.43535  0.000141  0.000044  0.004483     3.211
   1.03754  0.00641 -0.00899 -1.43977  0.000118  0.000049  0.016098     2.430
   1.04005  0.00873 -0.00997 -1.39084  0.000332  0.000062 -0.001568     5.342
   1.04288  0.01142 -0.01082 -1.35243  0.000321  0.000074 -0.000876     4.326
   1.04611  0.01457 -0.01156 -1.35767  0.010597  0.000048 -0.000406   218.957
   1.04989  0.01829 -0.01222 -1.35111  0.044266  0.000161 -0.000402   275.171
