#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00095  0.93807  0.002824  0.000688 -0.000026     4.106
   0.00570  0.99436  0.00179  0.93895  0.002770  0.000684 -0.000020     4.049
   0.01655  0.98363  0.00337  0.94085  0.002549  0.000676  0.000030     3.770
   0.02972  0.97060  0.00527  0.94368  0.002316  0.000664  0.000109     3.487
   0.04412  0.95635  0.00731  0.94747  0.002097  0.000649  0.000210     3.231
   0.05896  0.94164  0.00938  0.95177  0.001916  0.000632  0.000322     3.031
   0.07395  0.92680  0.01144  0.95601  0.001776  0.000616  0.000427     2.885
   0.08897  0.91191  0.01346  0.95914  0.001692  0.000602  0.000494     2.810
   0.10401  0.89701  0.01545  0.96202  0.001619  0.000590  0.000559     2.745
   0.11905  0.88209  0.01741  0.96374  0.001579  0.000580  0.000587     2.723
   0.13410  0.86717  0.01933  0.96593  0.001525  0.000569  0.000643     2.680
   0.14914  0.85224  0.02122  0.96772  0.001479  0.000559  0.000687     2.647
   0.16419  0.83731  0.02308  0.96863  0.001453  0.000551  0.000707     2.637
   0.17924  0.82237  0.02491  0.96997  0.001415  0.000542  0.000749     2.612
   0.19430  0.80743  0.02670  0.97075  0.001387  0.000534  0.000774     2.600
   0.20935  0.79248  0.02846  0.97146  0.001360  0.000526  0.000801     2.587
   0.22440  0.77753  0.03018  0.97211  0.001332  0.000518  0.000831     2.573
   0.23945  0.76257  0.03187  0.97247  0.001307  0.000510  0.000853     2.564
   0.25450  0.74761  0.03353  0.97274  0.001284  0.000502  0.000880     2.555
   0.26955  0.73265  0.03516  0.97258  0.001267  0.000496  0.000892     2.555
   0.28460  0.71769  0.03675  0.97302  0.001238  0.000488  0.000928     2.538
   0.29964  0.70272  0.03831  0.97293  0.001216  0.000480  0.000953     2.531
   0.31469  0.68775  0.03984  0.97250  0.001199  0.000474  0.000965     2.531
   0.32973  0.67279  0.04132  0.97254  0.001172  0.000466  0.001004     2.517
   0.34477  0.65782  0.04278  0.97158  0.001161  0.000460  0.001001     2.525
   0.35981  0.64285  0.04420  0.97164  0.001132  0.000452  0.001048     2.507
   0.37484  0.62788  0.04558  0.97060  0.001119  0.000445  0.001054     2.512
   0.38987  0.61291  0.04692  0.97006  0.001097  0.000438  0.001084     2.505
   0.40489  0.59795  0.04823  0.96943  0.001075  0.000431  0.001114     2.496
   0.41991  0.58298  0.04950  0.96828  0.001058  0.000424  0.001131     2.496
   0.43492  0.56802  0.05072  0.96741  0.001036  0.000416  0.001163     2.488
   0.44993  0.55306  0.05191  0.96615  0.001018  0.000409  0.001186     2.486
   0.46493  0.53810  0.05305  0.96482  0.000999  0.000402  0.001209     2.483
   0.47992  0.52315  0.05415  0.96347  0.000979  0.000395  0.001240     2.477
   0.49491  0.50820  0.05520  0.96186  0.000960  0.000388  0.001268     2.474
   0.50988  0.49325  0.05620  0.96015  0.000940  0.000381  0.001295     2.471
   0.52485  0.47832  0.05716  0.95830  0.000920  0.000373  0.001327     2.466
   0.53981  0.46338  0.05806  0.95627  0.000900  0.000366  0.001360     2.462
   0.55476  0.44846  0.05892  0.95397  0.000881  0.000358  0.001390     2.459
   0.56970  0.43354  0.05971  0.95159  0.000861  0.000351  0.001425     2.455
   0.58463  0.41863  0.06046  0.94900  0.000840  0.000343  0.001467     2.449
   0.59954  0.40373  0.06114  0.94595  0.000821  0.000336  0.001497     2.447
   0.61444  0.38885  0.06176  0.94288  0.000800  0.000328  0.001540     2.442
   0.62933  0.37397  0.06232  0.93944  0.000779  0.000320  0.001583     2.437
   0.64420  0.35911  0.06281  0.93561  0.000759  0.000312  0.001626     2.433
   0.65905  0.34426  0.06323  0.93140  0.000739  0.000304  0.001665     2.431
   0.67389  0.32943  0.06357  0.92701  0.000717  0.000296  0.001721     2.424
   0.68870  0.31462  0.06384  0.92196  0.000697  0.000288  0.001766     2.421
   0.70350  0.29982  0.06403  0.91657  0.000675  0.000280  0.001822     2.415
   0.71827  0.28505  0.06413  0.91053  0.000655  0.000271  0.001874     2.412
   0.73301  0.27031  0.06414  0.90401  0.000632  0.000263  0.001937     2.406
   0.74773  0.25559  0.06406  0.89664  0.000611  0.000254  0.001992     2.404
   0.76241  0.24091  0.06388  0.88873  0.000588  0.000245  0.002067     2.397
   0.77706  0.22627  0.06359  0.87971  0.000567  0.000237  0.002127     2.395
   0.79167  0.21167  0.06319  0.86992  0.000543  0.000227  0.002211     2.388
   0.80623  0.19711  0.06267  0.85873  0.000520  0.000218  0.002284     2.385
   0.82073  0.18262  0.06202  0.84637  0.000497  0.000209  0.002369     2.381
   0.83518  0.16820  0.06124  0.83244  0.000472  0.000199  0.002461     2.376
   0.84954  0.15387  0.06031  0.81667  0.000448  0.000188  0.002547     2.376
   0.86378  0.13967  0.05922  0.79910  0.000422  0.000178  0.002644     2.375
   0.87784  0.12567  0.05796  0.77920  0.000392  0.000166  0.002805     2.365
   0.89151  0.11207  0.05655  0.75843  0.000382  0.000154  0.002505     2.476
   0.90434  0.09933  0.05503  0.74595  0.000326  0.000134  0.003005     2.435
   0.91597  0.08785  0.05319  0.71938  0.000270  0.000116  0.003929     2.318
   0.92708  0.07700  0.05077  0.66665  0.000245  0.000106  0.004061     2.301
   0.93794  0.06655  0.04779  0.59785  0.000222  0.000098  0.004150     2.266
   0.94861  0.05648  0.04428  0.51299  0.000207  0.000091  0.003743     2.283
   0.95899  0.04689  0.04030  0.41042  0.000185  0.000083  0.003480     2.233
   0.96890  0.03798  0.03597  0.28992  0.000174  0.000077  0.002486     2.273
   0.97805  0.03000  0.03150  0.15116  0.000148  0.000067  0.001517     2.230
   0.98613  0.02319  0.02715 -0.00368  0.000148  0.000067  0.000189     2.230
   0.99300  0.01763  0.02312 -0.17191  0.000122  0.000055  0.002497     2.230
   0.99868  0.01322  0.01953 -0.35232  0.000112  0.000051  0.005388     2.213
   1.00336  0.00978  0.01636 -0.54413  0.000100  0.000045  0.009512     2.197
   1.00725  0.00708  0.01356 -0.75171  0.000089  0.000041  0.014660     2.191
   1.01053  0.00496  0.01106 -0.97774  0.000079  0.000036  0.021646     2.180
   1.01334  0.00330  0.00879 -1.22966  0.000070  0.000032  0.030836     2.171
   1.01579  0.00203  0.00670 -1.51294  0.000062  0.000029  0.042935     2.165
   1.01795  0.00108  0.00475 -1.83229  0.000056  0.000026  0.058493     2.161
   1.01990  0.00043  0.00292 -2.19176  0.000050  0.000023  0.078189     2.160
   1.02167  0.00007  0.00118 -2.57288  0.000046  0.000021  0.098111     2.175
   1.02330  0.00001 -0.00045 -2.95166  0.000044  0.000020  0.116956     2.191
   1.02496  0.00027 -0.00208 -3.28766  0.000046  0.000020  0.121352     2.250
   1.02668  0.00094 -0.00367 -3.41479  0.000059  0.000024  0.084862     2.471
   1.02852  0.00206 -0.00513 -3.25868  0.000119  0.000033  0.013792     3.643
   1.03051  0.00360 -0.00640 -3.22629  0.000374  0.000036 -0.006005    10.430
   1.03272  0.00553 -0.00746 -3.22651  0.000739  0.000036 -0.005414    20.697
   1.03520  0.00784 -0.00836 -3.22635  0.001110  0.000036 -0.005193    31.194
   1.03807  0.01061 -0.00912 -2.96775  0.000953  0.000145 -0.001496     6.571
   1.04148  0.01396 -0.00977 -2.61933  0.001295  0.000348  0.003890     3.720
   1.04565  0.01809 -0.01031 -2.41505  0.001846  0.000556  0.005117     3.319
   1.05093  0.02336 -0.01076 -2.27624  0.002647  0.000792  0.004471     3.343
   1.05787  0.03028 -0.01111 -2.20335  0.003894  0.001044  0.002851     3.729
   1.06708  0.03949 -0.01140 -2.13886  0.005341  0.001343  0.002047     3.978
   1.07867  0.05108 -0.01169 -2.24713  0.007585  0.001223  0.000151     6.202
   1.09152  0.06392 -0.01214 -1.86874  0.004518  0.002067  0.007773     2.186
   1.10463  0.07701 -0.01289 -1.84228  0.005067  0.002392  0.006601     2.118
   1.11775  0.09008 -0.01400 -1.81358  0.006081  0.002777  0.004793     2.189
   1.13114  0.10338 -0.01554 -1.77476  0.005894  0.002962  0.005659     1.990
   1.14502  0.11717 -0.01712 -1.75372  0.005463  0.003026  0.006876     1.805
   1.15917  0.13125 -0.01853 -1.74426  0.005126  0.003054  0.007842     1.678
   1.17347  0.14550 -0.01979 -1.73874  0.004899  0.003080  0.008534     1.591
   1.18789  0.15987 -0.02089 -1.73397  0.004755  0.003112  0.009013     1.528
   1.20239  0.17434 -0.02186 -1.72908  0.004666  0.003151  0.009338     1.481
   1.21697  0.18890 -0.02271 -1.72408  0.004613  0.003194  0.009558     1.444
   1.23161  0.20351 -0.02344 -1.71905  0.004585  0.003239  0.009705     1.415
   1.24629  0.21819 -0.02407 -1.71410  0.004573  0.003286  0.009800     1.392
   1.26103  0.23291 -0.02461 -1.70937  0.004573  0.003332  0.009858     1.372
   1.27580  0.24767 -0.02505 -1.70481  0.004582  0.003379  0.009888     1.356
   1.29060  0.26248 -0.02541 -1.70053  0.004598  0.003426  0.009899     1.342
