#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00095  1.00618  0.001170  0.000546  0.000905     2.141
   0.00570  0.99436  0.00179  0.99382  0.001333  0.000574  0.000708     2.321
   0.01655  0.98363  0.00337  0.98832  0.001417  0.000584  0.000643     2.426
   0.02972  0.97060  0.00527  0.98504  0.001470  0.000588  0.000609     2.501
   0.04412  0.95635  0.00731  0.98365  0.001489  0.000586  0.000608     2.540
   0.05896  0.94164  0.00938  0.98303  0.001493  0.000583  0.000618     2.563
   0.07395  0.92680  0.01144  0.98318  0.001479  0.000577  0.000646     2.565
   0.08897  0.91191  0.01346  0.98311  0.001468  0.000571  0.000663     2.572
   0.10401  0.89701  0.01545  0.98338  0.001450  0.000564  0.000689     2.568
   0.11905  0.88209  0.01741  0.98311  0.001442  0.000559  0.000695     2.579
   0.13410  0.86717  0.01933  0.98358  0.001419  0.000552  0.000724     2.570
   0.14914  0.85224  0.02122  0.98404  0.001394  0.000545  0.000756     2.559
   0.16419  0.83731  0.02308  0.98380  0.001382  0.000539  0.000764     2.564
   0.17924  0.82237  0.02491  0.98422  0.001357  0.000532  0.000795     2.552
   0.19430  0.80743  0.02670  0.98413  0.001340  0.000525  0.000811     2.551
   0.20935  0.79248  0.02846  0.98418  0.001320  0.000518  0.000833     2.545
   0.22440  0.77753  0.03018  0.98420  0.001299  0.000512  0.000856     2.539
   0.23945  0.76257  0.03187  0.98405  0.001280  0.000505  0.000876     2.535
   0.25450  0.74761  0.03353  0.98390  0.001260  0.000498  0.000898     2.529
   0.26955  0.73265  0.03516  0.98341  0.001245  0.000492  0.000909     2.531
   0.28460  0.71769  0.03675  0.98334  0.001223  0.000485  0.000938     2.521
   0.29964  0.70272  0.03831  0.98291  0.001204  0.000478  0.000958     2.518
   0.31469  0.68775  0.03984  0.98235  0.001187  0.000472  0.000974     2.517
   0.32973  0.67279  0.04132  0.98200  0.001166  0.000465  0.001002     2.509
   0.34477  0.65782  0.04278  0.98107  0.001152  0.000459  0.001010     2.512
   0.35981  0.64285  0.04420  0.98072  0.001129  0.000451  0.001045     2.502
   0.37484  0.62788  0.04558  0.97964  0.001115  0.000445  0.001053     2.505
   0.38987  0.61291  0.04692  0.97903  0.001093  0.000438  0.001084     2.497
   0.40489  0.59795  0.04823  0.97812  0.001074  0.000431  0.001108     2.493
   0.41991  0.58298  0.04950  0.97701  0.001057  0.000424  0.001128     2.492
   0.43492  0.56802  0.05072  0.97595  0.001037  0.000417  0.001155     2.487
   0.44993  0.55306  0.05191  0.97468  0.001019  0.000410  0.001178     2.485
   0.46493  0.53810  0.05305  0.97332  0.001001  0.000403  0.001202     2.482
   0.47992  0.52315  0.05415  0.97197  0.000980  0.000396  0.001233     2.477
   0.49491  0.50820  0.05520  0.97032  0.000962  0.000389  0.001257     2.475
   0.50988  0.49325  0.05620  0.96863  0.000943  0.000382  0.001286     2.471
   0.52485  0.47832  0.05716  0.96680  0.000923  0.000374  0.001318     2.467
   0.53981  0.46338  0.05806  0.96482  0.000903  0.000367  0.001351     2.462
   0.55476  0.44846  0.05892  0.96247  0.000886  0.000360  0.001376     2.462
   0.56970  0.43354  0.05971  0.96024  0.000865  0.000352  0.001415     2.456
   0.58463  0.41863  0.06046  0.95765  0.000845  0.000345  0.001453     2.452
   0.59954  0.40373  0.06114  0.95478  0.000825  0.000337  0.001487     2.449
   0.61444  0.38885  0.06176  0.95173  0.000805  0.000329  0.001527     2.445
   0.62933  0.37397  0.06232  0.94841  0.000785  0.000322  0.001569     2.440
   0.64420  0.35911  0.06281  0.94480  0.000764  0.000314  0.001615     2.435
   0.65905  0.34426  0.06323  0.94063  0.000745  0.000306  0.001650     2.435
   0.67389  0.32943  0.06357  0.93650  0.000722  0.000298  0.001708     2.427
   0.68870  0.31462  0.06384  0.93165  0.000702  0.000290  0.001754     2.424
   0.70350  0.29982  0.06403  0.92640  0.000681  0.000281  0.001806     2.420
   0.71827  0.28505  0.06413  0.92068  0.000660  0.000273  0.001862     2.416
   0.73301  0.27031  0.06414  0.91441  0.000638  0.000265  0.001923     2.410
   0.74773  0.25559  0.06406  0.90738  0.000616  0.000256  0.001981     2.407
   0.76241  0.24091  0.06388  0.89973  0.000594  0.000247  0.002050     2.403
   0.77706  0.22627  0.06359  0.89125  0.000571  0.000238  0.002120     2.397
   0.79167  0.21167  0.06319  0.88174  0.000548  0.000229  0.002200     2.393
   0.80623  0.19711  0.06267  0.87110  0.000526  0.000220  0.002276     2.390
   0.82073  0.18262  0.06202  0.85930  0.000502  0.000210  0.002359     2.385
   0.83518  0.16820  0.06124  0.84602  0.000477  0.000200  0.002454     2.382
   0.84954  0.15387  0.06031  0.83109  0.000453  0.000190  0.002543     2.382
   0.86378  0.13967  0.05922  0.81446  0.000427  0.000179  0.002646     2.381
   0.87784  0.12567  0.05796  0.79567  0.000398  0.000167  0.002785     2.376
   0.89151  0.11207  0.05655  0.77655  0.000388  0.000156  0.002477     2.490
   0.90434  0.09933  0.05503  0.76592  0.000330  0.000135  0.003038     2.442
   0.91597  0.08785  0.05319  0.74128  0.000273  0.000117  0.004011     2.325
   0.92708  0.07700  0.05077  0.69046  0.000247  0.000107  0.004263     2.298
   0.93794  0.06655  0.04779  0.62418  0.000226  0.000099  0.004283     2.282
   0.94861  0.05648  0.04428  0.54153  0.000207  0.000091  0.004158     2.264
   0.95899  0.04689  0.04030  0.44261  0.000190  0.000084  0.003700     2.266
   0.96890  0.03798  0.03597  0.32524  0.000172  0.000077  0.003139     2.238
   0.97805  0.03000  0.03150  0.19171  0.000159  0.000071  0.002057     2.250
   0.98613  0.02319  0.02715  0.04057  0.000135  0.000060  0.000711     2.230
   0.99300  0.01763  0.02312 -0.11869  0.000135  0.000060  0.001150     2.230
   0.99868  0.01322  0.01953 -0.29159  0.000111  0.000050  0.003969     2.196
   1.00336  0.00978  0.01636 -0.47361  0.000103  0.000046  0.006933     2.226
   1.00725  0.00708  0.01356 -0.67017  0.000090  0.000041  0.011959     2.176
   1.01053  0.00496  0.01106 -0.88351  0.000082  0.000037  0.017147     2.196
   1.01334  0.00330  0.00879 -1.11962  0.000072  0.000033  0.025496     2.167
   1.01579  0.00203  0.00670 -1.38395  0.000065  0.000030  0.035046     2.173
   1.01795  0.00108  0.00475 -1.68189  0.000057  0.000027  0.048430     2.161
   1.01990  0.00043  0.00292 -2.00831  0.000052  0.000024  0.063528     2.170
   1.02167  0.00007  0.00118 -2.35515  0.000049  0.000022  0.079854     2.174
   1.02330  0.00001 -0.00045 -2.68863  0.000047  0.000021  0.092633     2.203
   1.02496  0.00027 -0.00208 -2.95966  0.000050  0.000022  0.090407     2.275
   1.02668  0.00094 -0.00367 -2.98914  0.000072  0.000027  0.046828     2.639
   1.02852  0.00206 -0.00513 -2.89639  0.000206  0.000034 -0.005788     5.995
   1.03051  0.00360 -0.00640 -2.88790  0.000597  0.000035 -0.004566    16.957
   1.03272  0.00553 -0.00746 -2.89221  0.001158  0.000033 -0.004686    34.902
   1.03520  0.00784 -0.00836 -2.89395  0.001793  0.000032 -0.004886    56.904
   1.03807  0.01061 -0.00912 -2.88741  0.002063  0.000035 -0.004376    58.649
   1.04148  0.01396 -0.00977 -2.88116  0.002344  0.000039 -0.003924    59.724
   1.04565  0.01809 -0.01031 -2.84253  0.018685  0.000155 -0.001190   120.455
   1.05093  0.02336 -0.01076 -2.80275  0.014749  0.000463 -0.000353    31.866
   1.05787  0.03028 -0.01111 -2.78759  0.032741  0.000593 -0.000263    55.257
   1.06708  0.03949 -0.01140 -2.76237  0.039796  0.000940 -0.000163    42.339
   1.07867  0.05108 -0.01169 -2.75278  0.070456  0.001135 -0.000134    62.086
   1.09152  0.06392 -0.01214 -2.73551  0.080049  0.001630 -0.000093    49.099
   1.10463  0.07701 -0.01289 -2.72965  0.116541  0.001846 -0.000081    63.115
   1.11775  0.09008 -0.01400 -2.71813  0.124941  0.002378 -0.000063    52.536
   1.13114  0.10338 -0.01554 -2.71396  0.162422  0.002605 -0.000057    62.339
   1.14502  0.11717 -0.01712 -2.70525  0.172219  0.003164 -0.000047    54.436
   1.15917  0.13125 -0.01853 -2.70169  0.210484  0.003423 -0.000044    61.483
   1.17347  0.14550 -0.01979 -2.69502  0.222737  0.003978 -0.000037    55.990
   1.18789  0.15987 -0.02089 -2.69191  0.259953  0.004266 -0.000035    60.939
   1.20239  0.17434 -0.02186 -2.68663  0.274359  0.004809 -0.000031    57.053
   1.21697  0.18890 -0.02271 -2.68383  0.310075  0.005123 -0.000029    60.528
   1.23161  0.20351 -0.02344 -2.67955  0.326811  0.005648 -0.000026    57.860
   1.24629  0.21819 -0.02407 -2.67698  0.360695  0.005989 -0.000025    60.223
   1.26103  0.23291 -0.02461 -2.67344  0.379719  0.006496 -0.000023    58.457
   1.27580  0.24767 -0.02505 -2.67105  0.411775  0.006862 -0.000022    60.007
   1.29060  0.26248 -0.02541 -2.66806  0.432801  0.007351 -0.000020    58.875
   1.30544  0.27731 -0.02570 -2.66582  0.463233  0.007739 -0.000019    59.854
   1.32030  0.29217 -0.02591 -2.66324  0.485892  0.008214 -0.000018    59.152
   1.33519  0.30706 -0.02606 -2.66115  0.515005  0.008620 -0.000017    59.744
   1.35011  0.32197 -0.02615 -2.65888  0.538908  0.009084 -0.000016    59.322
   1.36504  0.33691 -0.02618 -2.65693  0.566991  0.009504 -0.000015    59.657
   1.38000  0.35186 -0.02615 -2.65491  0.591782  0.009961 -0.000015    59.410
   1.39497  0.36683 -0.02608 -2.65308  0.619094  0.010391 -0.000014    59.578
   1.40995  0.38182 -0.02595 -2.65124  0.644409  0.010844 -0.000014    59.423
   1.42496  0.39682 -0.02579 -2.64953  0.671190  0.011282 -0.000013    59.490
   1.43998  0.41184 -0.02558 -2.64784  0.696824  0.011734 -0.000012    59.387
   1.45501  0.42687 -0.02533 -2.64624  0.723185  0.012177 -0.000012    59.388
   1.47005  0.44191 -0.02505 -2.64467  0.748944  0.012628 -0.000012    59.306
   1.48510  0.45696 -0.02473 -2.64317  0.775030  0.013076 -0.000011    59.270
   1.50017  0.47202 -0.02438 -2.64170  0.800743  0.013529 -0.000011    59.189
   1.51524  0.48709 -0.02400 -2.64027  0.826136  0.013985 -0.000010    59.074
   1.53032  0.50217 -0.02360 -2.63889  0.851845  0.014438 -0.000010    59.001
   1.54542  0.51725 -0.02316 -2.63755  0.877373  0.014893 -0.000010    58.912
   1.56052  0.53235 -0.02271 -2.63624  0.902890  0.015348 -0.000009    58.826
   1.57562  0.54745 -0.02223 -2.63497  0.928225  0.015806 -0.000009    58.726
   1.59074  0.56255 -0.02173 -2.63373  0.953506  0.016264 -0.000009    58.627
   1.60586  0.57766 -0.02120 -2.63252  0.978638  0.016724 -0.000009    58.518
   1.62099  0.59278 -0.02066 -2.63134  1.003626  0.017185 -0.000008    58.402
   1.63612  0.60790 -0.02010 -2.63018  1.028529  0.017647 -0.000008    58.285
   1.65125  0.62303 -0.01953 -2.62905  1.053230  0.018111 -0.000008    58.156
   1.66639  0.63815 -0.01894 -2.62794  1.077830  0.018575 -0.000008    58.025
   1.68154  0.65329 -0.01833 -2.62685  1.102246  0.019042 -0.000008    57.885
   1.69668  0.66842 -0.01771 -2.62579  1.126536  0.019509 -0.000007    57.743
