#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00105  0.96549  0.002405  0.001316  0.001801     1.827
   0.00582  0.99426  0.00197  0.98251  0.002192  0.001226  0.002026     1.788
   0.01655  0.98366  0.00366  0.98767  0.002220  0.001191  0.001814     1.865
   0.02951  0.97086  0.00567  0.98613  0.002433  0.001188  0.001326     2.049
   0.04393  0.95660  0.00787  1.19679  0.000778  0.000562  0.007144     1.385
   0.05906  0.94165  0.01015  1.12738  0.000986  0.000653  0.005000     1.510
   0.07446  0.92641  0.01242  1.10751  0.001100  0.000668  0.003837     1.647
   0.08996  0.91107  0.01466  1.10177  0.001229  0.000660  0.002674     1.861
   0.10551  0.89569  0.01688  1.07192  0.002160  0.000736  0.000361     2.934
   0.12106  0.88028  0.01905  1.08935  0.002254  0.000676  0.000162     3.334
   0.13663  0.86487  0.02119  1.09165  0.002227  0.000667  0.000163     3.337
   0.15220  0.84944  0.02329  1.09427  0.002173  0.000658  0.000181     3.304
   0.16777  0.83401  0.02535  1.09694  0.002121  0.000648  0.000200     3.272
   0.18334  0.81857  0.02738  1.10110  0.001968  0.000634  0.000301     3.105
   0.19891  0.80312  0.02936  1.10454  0.001878  0.000622  0.000366     3.020
   0.21448  0.78767  0.03131  1.10767  0.001807  0.000611  0.000419     2.959
   0.23006  0.77222  0.03322  1.11038  0.001755  0.000601  0.000458     2.922
   0.24563  0.75676  0.03510  1.11293  0.001709  0.000591  0.000492     2.892
   0.26120  0.74130  0.03693  1.11525  0.001671  0.000582  0.000519     2.872
   0.27677  0.72583  0.03873  1.11763  0.001632  0.000573  0.000549     2.850
   0.29234  0.71036  0.04049  1.11976  0.001600  0.000564  0.000571     2.837
   0.30790  0.69489  0.04221  1.12204  0.001563  0.000555  0.000601     2.818
   0.32346  0.67942  0.04389  1.12453  0.001520  0.000545  0.000644     2.790
   0.33902  0.66395  0.04553  1.12619  0.001499  0.000537  0.000653     2.791
   0.35457  0.64848  0.04712  1.12854  0.001461  0.000528  0.000692     2.767
   0.37012  0.63301  0.04868  1.13045  0.001432  0.000519  0.000716     2.758
   0.38566  0.61754  0.05019  1.13254  0.001399  0.000510  0.000750     2.742
   0.40120  0.60208  0.05166  1.13432  0.001372  0.000502  0.000773     2.734
   0.41673  0.58662  0.05309  1.13591  0.001350  0.000494  0.000787     2.734
   0.43225  0.57116  0.05446  1.13823  0.001312  0.000484  0.000836     2.709
   0.44776  0.55570  0.05579  1.13977  0.001289  0.000476  0.000855     2.707
   0.46326  0.54025  0.05707  1.14131  0.001267  0.000468  0.000873     2.706
   0.47875  0.52481  0.05830  1.14321  0.001237  0.000459  0.000909     2.694
   0.49423  0.50937  0.05948  1.14543  0.001200  0.000450  0.000967     2.669
   0.50970  0.49394  0.06060  1.14694  0.001174  0.000441  0.000998     2.662
   0.52516  0.47852  0.06167  1.14775  0.001160  0.000434  0.000995     2.675
   0.54060  0.46311  0.06267  1.14937  0.001134  0.000425  0.001026     2.670
   0.55603  0.44771  0.06362  1.15115  0.001105  0.000416  0.001069     2.658
   0.57144  0.43233  0.06450  1.15256  0.001081  0.000407  0.001097     2.656
   0.58684  0.41695  0.06532  1.15493  0.001041  0.000397  0.001185     2.624
   0.60222  0.40160  0.06606  1.15529  0.001029  0.000389  0.001175     2.642
   0.61757  0.38625  0.06674  1.15696  0.000999  0.000380  0.001229     2.630
   0.63291  0.37093  0.06734  1.15826  0.000973  0.000371  0.001271     2.624
   0.64822  0.35563  0.06786  1.15920  0.000952  0.000362  0.001294     2.629
   0.66351  0.34034  0.06830  1.16144  0.000912  0.000351  0.001403     2.597
   0.67877  0.32509  0.06865  1.16133  0.000900  0.000344  0.001385     2.620
   0.69400  0.30986  0.06891  1.16370  0.000858  0.000332  0.001518     2.583
   0.70920  0.29466  0.06907  1.16267  0.000855  0.000325  0.001447     2.628
   0.72436  0.27950  0.06914  1.16551  0.000809  0.000313  0.001611     2.584
   0.73949  0.26437  0.06910  1.16513  0.000796  0.000305  0.001587     2.612
   0.75457  0.24929  0.06895  1.16795  0.000748  0.000292  0.001795     2.560
   0.76960  0.23426  0.06867  1.16776  0.000722  0.000282  0.001863     2.558
   0.78458  0.21929  0.06828  1.16600  0.000715  0.000274  0.001775     2.608
   0.79950  0.20438  0.06775  1.16849  0.000671  0.000261  0.001983     2.569
   0.81434  0.18955  0.06708  1.16806  0.000648  0.000251  0.002009     2.587
