#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00105  0.96566  0.002407  0.001321  0.001811     1.822
   0.00582  0.99426  0.00197  0.98292  0.002190  0.001229  0.002043     1.782
   0.01655  0.98366  0.00366  0.98813  0.002215  0.001194  0.001837     1.856
   0.02951  0.97086  0.00567  0.98637  0.002426  0.001192  0.001350     2.036
   0.04393  0.95660  0.00787  1.19764  0.000779  0.000564  0.007172     1.382
   0.05906  0.94165  0.01015  1.12815  0.000985  0.000655  0.005035     1.504
   0.07446  0.92641  0.01242  1.10825  0.001097  0.000670  0.003883     1.638
   0.08996  0.91107  0.01466  1.10250  0.001222  0.000662  0.002724     1.847
   0.10551  0.89569  0.01688  1.07145  0.002142  0.000740  0.000386     2.894
   0.12106  0.88028  0.01905  1.09019  0.002246  0.000676  0.000166     3.324
   0.13663  0.86487  0.02119  1.09245  0.002223  0.000667  0.000166     3.331
   0.15220  0.84944  0.02329  1.09506  0.002170  0.000658  0.000183     3.300
   0.16777  0.83401  0.02535  1.09772  0.002119  0.000648  0.000202     3.269
   0.18334  0.81857  0.02738  1.10187  0.001967  0.000634  0.000303     3.103
   0.19891  0.80312  0.02936  1.10530  0.001878  0.000622  0.000367     3.019
   0.21448  0.78767  0.03131  1.10843  0.001807  0.000611  0.000420     2.959
   0.23006  0.77222  0.03322  1.11114  0.001755  0.000601  0.000459     2.922
   0.24563  0.75676  0.03510  1.11368  0.001709  0.000591  0.000493     2.892
   0.26120  0.74130  0.03693  1.11600  0.001672  0.000582  0.000519     2.873
   0.27677  0.72583  0.03873  1.11838  0.001632  0.000573  0.000550     2.850
   0.29234  0.71036  0.04049  1.12050  0.001600  0.000564  0.000572     2.837
   0.30790  0.69489  0.04221  1.12279  0.001563  0.000555  0.000602     2.818
   0.32346  0.67942  0.04389  1.12528  0.001521  0.000545  0.000644     2.790
   0.33902  0.66395  0.04553  1.12694  0.001500  0.000537  0.000653     2.791
   0.35457  0.64848  0.04712  1.12929  0.001461  0.000528  0.000692     2.768
   0.37012  0.63301  0.04868  1.13120  0.001433  0.000519  0.000716     2.758
   0.38566  0.61754  0.05019  1.13329  0.001400  0.000510  0.000750     2.742
   0.40120  0.60208  0.05166  1.13508  0.001373  0.000502  0.000773     2.735
   0.41673  0.58662  0.05309  1.13667  0.001351  0.000494  0.000787     2.734
   0.43225  0.57116  0.05446  1.13900  0.001313  0.000484  0.000836     2.710
   0.44776  0.55570  0.05579  1.14054  0.001290  0.000476  0.000855     2.708
   0.46326  0.54025  0.05707  1.14208  0.001267  0.000468  0.000873     2.706
   0.47875  0.52481  0.05830  1.14399  0.001237  0.000459  0.000909     2.694
   0.49423  0.50937  0.05948  1.14622  0.001200  0.000450  0.000966     2.670
   0.50970  0.49394  0.06060  1.14773  0.001175  0.000441  0.000998     2.663
   0.52516  0.47852  0.06167  1.14855  0.001161  0.000434  0.000994     2.676
   0.54060  0.46311  0.06267  1.15017  0.001135  0.000425  0.001025     2.670
   0.55603  0.44771  0.06362  1.15196  0.001106  0.000416  0.001068     2.659
   0.57144  0.43233  0.06450  1.15338  0.001082  0.000407  0.001097     2.656
   0.58684  0.41695  0.06532  1.15576  0.001042  0.000397  0.001184     2.625
   0.60222  0.40160  0.06606  1.15613  0.001029  0.000389  0.001174     2.643
   0.61757  0.38625  0.06674  1.15780  0.001000  0.000380  0.001228     2.631
   0.63291  0.37093  0.06734  1.15912  0.000974  0.000371  0.001271     2.625
   0.64822  0.35563  0.06786  1.16007  0.000952  0.000362  0.001294     2.629
   0.66351  0.34034  0.06830  1.16231  0.000913  0.000351  0.001402     2.598
   0.67877  0.32509  0.06865  1.16222  0.000901  0.000344  0.001384     2.621
   0.69400  0.30986  0.06891  1.16460  0.000859  0.000332  0.001518     2.584
   0.70920  0.29466  0.06907  1.16360  0.000855  0.000325  0.001446     2.629
   0.72436  0.27950  0.06914  1.16644  0.000810  0.000313  0.001610     2.585
   0.73949  0.26437  0.06910  1.16608  0.000796  0.000305  0.001587     2.612
   0.75457  0.24929  0.06895  1.16892  0.000748  0.000292  0.001794     2.561
   0.76960  0.23426  0.06867  1.16876  0.000722  0.000282  0.001863     2.559
   0.78458  0.21929  0.06828  1.16702  0.000715  0.000274  0.001775     2.609
   0.79950  0.20438  0.06775  1.16954  0.000671  0.000261  0.001981     2.570
   0.81434  0.18955  0.06708  1.16914  0.000649  0.000251  0.002008     2.587
   0.82910  0.17482  0.06626  1.16923  0.000629  0.000240  0.001998     2.620
   0.84374  0.16020  0.06527  1.17145  0.000596  0.000227  0.002095     2.626
   0.85824  0.14576  0.06412  1.17496  0.000551  0.000212  0.002358     2.595
   0.87250  0.13156  0.06280  1.17420  0.000563  0.000202  0.001825     2.786
   0.88635  0.11779  0.06130  1.18671  0.000492  0.000182  0.002342     2.704
   0.89946  0.10478  0.05968  1.19502  0.000511  0.000168  0.001380     3.051
   0.91137  0.09300  0.05790  1.22446  0.000348  0.000139  0.004275     2.508
   0.92241  0.08219  0.05564  1.21615  0.000298  0.000125  0.005624     2.389
   0.93304  0.07194  0.05285  1.18802  0.000276  0.000116  0.005944     2.385
   0.94337  0.06214  0.04958  1.15279  0.000247  0.000106  0.006860     2.323
   0.95337  0.05285  0.04588  1.10249  0.000235  0.000099  0.006639     2.361
   0.96292  0.04419  0.04186  1.04493  0.000203  0.000091  0.008165     2.238
   0.97183  0.03632  0.03767  0.97140  0.000213  0.000088  0.006074     2.422
   0.97991  0.02941  0.03349  0.91311  0.000169  0.000076  0.008779     2.215
   0.98704  0.02351  0.02948  0.81807  0.000176  0.000075  0.006702     2.344
   0.99320  0.01860  0.02576  0.74615  0.000151  0.000067  0.007667     2.264
   0.99848  0.01457  0.02236  0.65770  0.000143  0.000062  0.006921     2.295
   1.00299  0.01127  0.01928  0.56965  0.000129  0.000057  0.006971     2.247
   1.00688  0.00857  0.01647  0.48092  0.000121  0.000052  0.005802     2.331
   1.01027  0.00637  0.01391  0.37341  0.000103  0.000048  0.006303     2.138
   1.01324  0.00457  0.01153  0.26718  0.000123  0.000052  0.003075     2.362
   1.01589  0.00312  0.00932  0.18220  0.000085  0.000038  0.003393     2.241
   1.01827  0.00197  0.00724  0.02981  0.000075  0.000034  0.000633     2.230
   1.02043  0.00109  0.00526 -0.13345  0.000075  0.000034  0.002863     2.230
   1.02241  0.00047  0.00338 -0.30133  0.000069  0.000031  0.007110     2.213
   1.02425  0.00011  0.00158 -0.49575  0.000062  0.000028  0.013102     2.206
   1.02596  0.00000 -0.00012 -0.76170  0.000051  0.000023  0.025376     2.172
   1.02765  0.00016 -0.00181 -0.91893  0.000069  0.000028  0.017295     2.439
   1.02941  0.00065 -0.00350 -1.19067  0.000048  0.000023  0.044818     2.076
   1.03124  0.00153 -0.00511 -1.31515  0.000078  0.000030  0.018612     2.591
   1.03319  0.00281 -0.00658 -1.47548  0.000063  0.000030  0.040522     2.137
   1.03527  0.00444 -0.00787 -1.43557  0.000141  0.000044  0.004471     3.212
   1.03754  0.00641 -0.00899 -1.43986  0.000118  0.000049  0.016062     2.431
   1.04005  0.00873 -0.00997 -1.39099  0.000332  0.000062 -0.001568     5.348
   1.04288  0.01142 -0.01082 -1.35264  0.000321  0.000074 -0.000897     4.337
   1.04611  0.01457 -0.01156 -1.35787  0.010598  0.000048 -0.000406   218.882
   1.04989  0.01829 -0.01222 -1.35132  0.044267  0.000161 -0.000402   275.268
   1.05442  0.02278 -0.01281 -1.34970  0.099675  0.000242 -0.000307   411.134
   1.06000  0.02833 -0.01334 -1.34814  0.124664  0.000373 -0.000199   333.921
   1.06704  0.03536 -0.01383 -1.34871  0.131435  0.000318 -0.000234   413.393
   1.07605  0.04435 -0.01433 -1.34872  0.143140  0.000346 -0.000215   413.406
   1.08713  0.05542 -0.01491 -1.33992  0.037512  0.001473 -0.000051    25.472
   1.09961  0.06787 -0.01570 -1.35034  0.094065  0.000860 -0.000087   109.406
   1.11265  0.08087 -0.01678 -1.35158  0.103293  0.000767 -0.000097   134.621
   1.12592  0.09406 -0.01823 -1.35436  0.171448  0.000449 -0.000166   382.018
   1.13961  0.10763 -0.02006 -1.35144  0.337482  0.000985 -0.000076   342.490
   1.15372  0.12163 -0.02177 -1.34970  0.492465  0.001518 -0.000049   324.456
   1.16809  0.13593 -0.02329 -1.34696  0.414572  0.002506 -0.000030   165.447
   1.18266  0.15043 -0.02464 -1.33910  0.235099  0.004754 -0.000016    49.449
   1.19737  0.16510 -0.02583 -1.33355  0.185294  0.005685 -0.000013    32.593
   1.21220  0.17989 -0.02687 -1.32554  0.130001  0.006728 -0.000011    19.323
   1.22712  0.19478 -0.02778 -1.32126  0.127274  0.007189 -0.000011    17.704
   1.24213  0.20977 -0.02855 -1.31338  0.100579  0.007966 -0.000010    12.626
   1.25720  0.22483 -0.02921 -1.30605  0.088733  0.008591 -0.000009    10.329
   1.27233  0.23995 -0.02976 -1.29930  0.084749  0.009132 -0.000009     9.280
   1.28752  0.25513 -0.03021 -1.29480  0.093388  0.009506 -0.000008     9.824
   1.30275  0.27036 -0.03056 -1.28830  0.088855  0.010063 -0.000008     8.830
   1.31803  0.28563 -0.03083 -1.29820  0.252767  0.008556 -0.000009    29.541
   1.33335  0.30095 -0.03101 -1.29656  0.261852  0.008905 -0.000008    29.406
   1.34869  0.31629 -0.03112 -1.29537  0.279465  0.009169 -0.000008    30.481
   1.36407  0.33167 -0.03116 -1.29414  0.295718  0.009460 -0.000008    31.259
   1.37948  0.34708 -0.03113 -1.29283  0.309963  0.009787 -0.000007    31.672
   1.39492  0.36252 -0.03104 -1.29138  0.320780  0.010163 -0.000007    31.565
   1.41038  0.37798 -0.03089 -1.27582  0.104313  0.013225 -0.000006     7.887
   1.42586  0.39346 -0.03068 -1.27125  0.111418  0.013708 -0.000006     8.128
   1.44137  0.40896 -0.03043 -1.26649  0.114894  0.014238 -0.000006     8.069
   1.45689  0.42448 -0.03012 -1.26218  0.120229  0.014738 -0.000005     8.158
   1.47243  0.44002 -0.02978 -1.25811  0.125664  0.015231 -0.000005     8.251
   1.48799  0.45558 -0.02939 -1.25428  0.131320  0.015717 -0.000005     8.355
   1.50357  0.47114 -0.02896 -1.25085  0.138731  0.016174 -0.000005     8.577
   1.51916  0.48673 -0.02849 -1.24797  0.149263  0.016582 -0.000005     9.002
   1.53476  0.50232 -0.02799 -1.26090  1.067880  0.007282 -0.000010   146.641
   1.55037  0.51793 -0.02746 -1.26045  1.090291  0.007670 -0.000009   142.142
   1.56600  0.53354 -0.02689 -1.25993  1.113855  0.008130 -0.000009   136.998
   1.58164  0.54917 -0.02630 -1.25927  1.130423  0.008729 -0.000008   129.500
   1.59728  0.56480 -0.02568 -1.25854  1.144525  0.009398 -0.000007   121.779
   1.61294  0.58044 -0.02504 -1.26142  1.550778  0.006082 -0.000011   254.976
   1.62860  0.59609 -0.02437 -1.26068  1.580972  0.007016 -0.000010   225.335
   1.64427  0.61175 -0.02368 -1.26205  1.966482  0.004998 -0.000014   393.464
   1.65995  0.62741 -0.02297 -1.26168  2.213998  0.005625 -0.000012   393.612
   1.67564  0.64308 -0.02224 -1.26113  2.638731  0.006683 -0.000010   394.836
   1.69133  0.65875 -0.02148 -1.26063  3.116596  0.007829 -0.000009   398.066
   1.70702  0.67443 -0.02071 -1.26011  3.544472  0.009197 -0.000008   385.378
   1.72272  0.69011 -0.01993 -1.26016  4.076450  0.009025 -0.000008   451.674
   1.73842  0.70579 -0.01912 -1.26006  4.539947  0.009356 -0.000007   485.248
   1.75413  0.72147 -0.01830 -1.25973  4.926250  0.010594 -0.000007   464.996
   1.76984  0.73716 -0.01746 -1.25948  5.319986  0.011609 -0.000006   458.259
   1.78554  0.75284 -0.01661 -1.25929  5.730638  0.012442 -0.000006   460.606
   1.80125  0.76853 -0.01574 -1.25908  6.121997  0.013436 -0.000005   455.634
   1.81697  0.78422 -0.01486 -1.25893  6.533193  0.014205 -0.000005   459.907
   1.83268  0.79990 -0.01396 -1.25874  6.911316  0.015249 -0.000005   453.226
   1.84839  0.81559 -0.01305 -1.25859  7.311448  0.016074 -0.000004   454.862
   1.86410  0.83127 -0.01212 -1.25845  7.706479  0.016930 -0.000004   455.201
   1.87980  0.84695 -0.01118 -1.25833  8.113490  0.017663 -0.000004   459.349
   1.89551  0.86262 -0.01022 -1.25819  8.491353  0.018561 -0.000004   457.484
   1.91121  0.87829 -0.00925 -1.25811  8.909821  0.019137 -0.000004   465.584
   1.92690  0.89396 -0.00825 -1.25824  9.485020  0.018193 -0.000004   521.364
   1.94258  0.90960 -0.00725 -1.25816  9.921609  0.018817 -0.000004   527.270
   1.95822  0.92521 -0.00622 -1.25812 10.385290  0.019191 -0.000004   541.160
   1.97376  0.94071 -0.00519 -1.25642  9.460422  0.033508 -0.000002   282.333
   1.98902  0.95594 -0.00416 -1.25638  9.731721  0.033851 -0.000002   287.484
   2.00356  0.97044 -0.00315 -1.25786 11.283906  0.020627 -0.000003   547.053
   2.01660  0.98345 -0.00224 -1.25861 12.344630  0.013256 -0.000005   931.262
   2.02737  0.99419 -0.00147 -1.25916 13.367148  0.007214 -0.000010  1853.048
   2.03319  1.00000 -0.00105 -1.25950 14.258365  0.002964 -0.000023  4810.692
   2.03319  1.00010 -0.00000  0.69709 14.262856  0.004308  0.000000  3311.002
   2.03901  1.00591 -0.00024  0.69606  9.466957  0.056663  0.000000   167.073
   2.04587  1.01277 -0.00047  0.69635  9.973086  0.052538  0.000000   189.825
   2.05396  1.02086 -0.00069  0.69667 10.578061  0.047663  0.000000   221.936
   2.06350  1.03039 -0.00091  0.69705 11.322385  0.041730  0.000000   271.324
   2.07474  1.04163 -0.00112  0.69740 12.343091  0.035747  0.000000   345.291
   2.08800  1.05489 -0.00132  0.69759 13.395746  0.032104  0.000000   417.256
   2.10363  1.07052 -0.00149  0.69714 13.377508  0.040934  0.000000   326.806
   2.12206  1.08894 -0.00162  0.69711 14.309743  0.041551  0.000000   344.387
   2.14378  1.11067 -0.00167  0.69507 11.015255  0.083826  0.000000   131.406
   2.16940  1.13629 -0.00162  0.69446 10.803614  0.093618  0.000000   115.402
   2.19960  1.16649 -0.00144  0.69670 17.567913  0.032966  0.000000   532.911
   2.23521  1.20210 -0.00105  0.69736 22.082577  0.008126  0.000000  2717.563
