#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00095  1.31117  0.000686  0.000360  0.003912     1.909
   0.00570  0.99436  0.00179  1.27897  0.000798  0.000391  0.002864     2.043
   0.01655  0.98363  0.00337  1.26046  0.000851  0.000405  0.002519     2.102
   0.02972  0.97060  0.00527  1.24400  0.000899  0.000417  0.002247     2.157
   0.04412  0.95635  0.00731  1.23158  0.000928  0.000424  0.002089     2.191
   0.05896  0.94164  0.00938  1.22066  0.000954  0.000429  0.001958     2.224
   0.07395  0.92680  0.01144  1.21208  0.000968  0.000432  0.001883     2.243
   0.08897  0.91191  0.01346  1.20402  0.000983  0.000434  0.001810     2.264
   0.10401  0.89701  0.01545  1.19722  0.000990  0.000435  0.001767     2.276
   0.11905  0.88209  0.01741  1.18998  0.001004  0.000437  0.001694     2.300
   0.13410  0.86717  0.01933  1.18442  0.001007  0.000436  0.001668     2.310
   0.14914  0.85224  0.02122  1.17933  0.001007  0.000435  0.001654     2.315
   0.16419  0.83731  0.02308  1.17358  0.001014  0.000435  0.001608     2.333
   0.17924  0.82237  0.02491  1.16909  0.001011  0.000433  0.001602     2.337
   0.19430  0.80743  0.02670  1.16427  0.001013  0.000431  0.001577     2.348
   0.20935  0.79248  0.02846  1.15987  0.001011  0.000429  0.001564     2.356
   0.22440  0.77753  0.03018  1.15570  0.001008  0.000427  0.001556     2.361
   0.23945  0.76257  0.03187  1.15158  0.001005  0.000424  0.001547     2.368
   0.25450  0.74761  0.03353  1.14763  0.001001  0.000422  0.001542     2.373
   0.26955  0.73265  0.03516  1.14346  0.001000  0.000419  0.001523     2.384
   0.28460  0.71769  0.03675  1.14012  0.000990  0.000415  0.001535     2.383
   0.29964  0.70272  0.03831  1.13640  0.000984  0.000412  0.001533     2.388
   0.31469  0.68775  0.03984  1.13262  0.000980  0.000409  0.001526     2.396
   0.32973  0.67279  0.04132  1.12934  0.000970  0.000405  0.001539     2.395
   0.34477  0.65782  0.04278  1.12555  0.000965  0.000401  0.001530     2.403
   0.35981  0.64285  0.04420  1.12237  0.000954  0.000397  0.001547     2.402
   0.37484  0.62788  0.04558  1.11849  0.000949  0.000393  0.001534     2.413
   0.38987  0.61291  0.04692  1.11568  0.000934  0.000388  0.001564     2.407
   0.40489  0.59795  0.04823  1.11194  0.000927  0.000384  0.001563     2.414
   0.41991  0.58298  0.04950  1.10862  0.000916  0.000379  0.001577     2.415
   0.43492  0.56802  0.05072  1.10536  0.000903  0.000374  0.001597     2.413
   0.44993  0.55306  0.05191  1.10157  0.000895  0.000370  0.001599     2.419
   0.46493  0.53810  0.05305  1.09817  0.000882  0.000365  0.001617     2.420
   0.47992  0.52315  0.05415  1.09474  0.000868  0.000359  0.001641     2.418
   0.49491  0.50820  0.05520  1.09097  0.000857  0.000354  0.001653     2.421
   0.50988  0.49325  0.05620  1.08733  0.000843  0.000348  0.001676     2.421
   0.52485  0.47832  0.05716  1.08365  0.000829  0.000343  0.001704     2.419
   0.53981  0.46338  0.05806  1.07956  0.000816  0.000337  0.001722     2.421
   0.55476  0.44846  0.05892  1.07560  0.000801  0.000331  0.001750     2.420
   0.56970  0.43354  0.05971  1.07134  0.000787  0.000325  0.001775     2.421
   0.58463  0.41863  0.06046  1.06712  0.000771  0.000319  0.001811     2.418
   0.59954  0.40373  0.06114  1.06264  0.000754  0.000312  0.001850     2.414
   0.61444  0.38885  0.06176  1.05741  0.000742  0.000306  0.001862     2.421
   0.62933  0.37397  0.06232  1.05291  0.000722  0.000299  0.001923     2.411
   0.64420  0.35911  0.06281  1.04741  0.000706  0.000293  0.001960     2.410
   0.65905  0.34426  0.06323  1.04142  0.000692  0.000286  0.001979     2.416
   0.67389  0.32943  0.06357  1.03590  0.000672  0.000279  0.002045     2.407
   0.68870  0.31462  0.06384  1.02945  0.000654  0.000272  0.002094     2.405
   0.70350  0.29982  0.06403  1.02245  0.000637  0.000265  0.002136     2.405
   0.71827  0.28505  0.06413  1.01509  0.000619  0.000258  0.002186     2.404
   0.73301  0.27031  0.06414  1.00745  0.000598  0.000250  0.002261     2.396
   0.74773  0.25559  0.06406  0.99866  0.000580  0.000242  0.002314     2.396
   0.76241  0.24091  0.06388  0.98939  0.000560  0.000234  0.002386     2.391
   0.77706  0.22627  0.06359  0.97907  0.000541  0.000226  0.002451     2.390
   0.79167  0.21167  0.06319  0.96804  0.000519  0.000218  0.002542     2.383
   0.80623  0.19711  0.06267  0.95540  0.000499  0.000209  0.002606     2.385
   0.82073  0.18262  0.06202  0.94192  0.000478  0.000201  0.002682     2.385
   0.83518  0.16820  0.06124  0.92730  0.000454  0.000191  0.002809     2.375
   0.84954  0.15387  0.06031  0.91016  0.000431  0.000181  0.002902     2.375
   0.86378  0.13967  0.05922  0.89124  0.000409  0.000172  0.002978     2.383
   0.87784  0.12567  0.05796  0.87091  0.000380  0.000160  0.003155     2.374
   0.89151  0.11207  0.05655  0.84973  0.000371  0.000149  0.002811     2.486
   0.90434  0.09933  0.05503  0.83799  0.000317  0.000130  0.003380     2.448
   0.91597  0.08785  0.05319  0.81136  0.000260  0.000112  0.004563     2.313
   0.92708  0.07700  0.05077  0.75563  0.000239  0.000103  0.004625     2.314
   0.93794  0.06655  0.04779  0.68503  0.000214  0.000095  0.004902     2.264
   0.94861  0.05648  0.04428  0.59490  0.000201  0.000088  0.004440     2.286
   0.95899  0.04689  0.04030  0.48941  0.000180  0.000080  0.004251     2.246
   0.96890  0.03798  0.03597  0.36079  0.000169  0.000075  0.003325     2.254
   0.97805  0.03000  0.03150  0.21885  0.000150  0.000067  0.002306     2.246
   0.98613  0.02319  0.02715  0.05299  0.000132  0.000059  0.000675     2.230
   0.99300  0.01763  0.02312 -0.11336  0.000132  0.000059  0.001307     2.230
   0.99868  0.01322  0.01953 -0.30267  0.000104  0.000048  0.004646     2.194
   1.00336  0.00978  0.01636 -0.49674  0.000101  0.000045  0.007598     2.240
   1.00725  0.00708  0.01356 -0.70790  0.000086  0.000040  0.013653     2.166
   1.01053  0.00496  0.01106 -0.93606  0.000079  0.000036  0.018830     2.205
   1.01334  0.00330  0.00879 -1.19148  0.000069  0.000032  0.028893     2.160
   1.01579  0.00203  0.00670 -1.47342  0.000063  0.000029  0.038382     2.181
   1.01795  0.00108  0.00475 -1.79522  0.000055  0.000026  0.054622     2.155
   1.01990  0.00043  0.00292 -2.14343  0.000051  0.000023  0.069082     2.177
   1.02167  0.00007  0.00118 -2.51890  0.000047  0.000021  0.089651     2.168
   1.02330  0.00001 -0.00045 -2.88053  0.000045  0.000021  0.101426     2.205
   1.02496  0.00027 -0.00208 -3.17474  0.000048  0.000021  0.098712     2.273
   1.02668  0.00094 -0.00367 -3.20099  0.000071  0.000027  0.044913     2.659
   1.02852  0.00206 -0.00513 -3.11157  0.000216  0.000033 -0.006103     6.578
   1.03051  0.00360 -0.00640 -3.10458  0.000608  0.000033 -0.005211    18.279
   1.03272  0.00553 -0.00746 -3.10898  0.001158  0.000031 -0.005439    36.996
   1.03520  0.00784 -0.00836 -3.11053  0.001777  0.000030 -0.005682    59.623
   1.03807  0.01061 -0.00912 -3.10476  0.002126  0.000033 -0.005160    64.985
   1.04148  0.01396 -0.00977 -2.81692  0.049768  0.002120 -0.000087    23.472
   1.04565  0.01809 -0.01031 -2.77456  0.030669  0.002834 -0.000065    10.822
   1.05093  0.02336 -0.01076 -2.71421  0.021349  0.003563 -0.000056     5.992
   1.05787  0.03028 -0.01111 -2.68647  0.042056  0.003961 -0.000045    10.618
   1.06708  0.03949 -0.01140 -2.65199  0.049066  0.004659 -0.000038    10.531
   1.07867  0.05108 -0.01169 -2.63688  0.083014  0.005089 -0.000033    16.313
   1.09152  0.06392 -0.01214 -2.61744  0.092607  0.005819 -0.000029    15.915
   1.10463  0.07701 -0.01289 -2.61059  0.131249  0.006143 -0.000027    21.367
   1.11775  0.09008 -0.01400 -2.59919  0.138690  0.006790 -0.000024    20.425
   1.13114  0.10338 -0.01554 -2.59513  0.176535  0.007058 -0.000023    25.012
   1.14502  0.11717 -0.01712 -2.58702  0.184651  0.007670 -0.000021    24.075
   1.15917  0.13125 -0.01853 -2.58390  0.221985  0.007933 -0.000021    27.981
   1.17347  0.14550 -0.01979 -2.57793  0.232307  0.008497 -0.000019    27.340
   1.18789  0.15987 -0.02089 -2.57537  0.267802  0.008763 -0.000018    30.559
   1.20239  0.17434 -0.02186 -2.57078  0.280285  0.009284 -0.000017    30.189
   1.21697  0.18890 -0.02271 -2.56855  0.313990  0.009558 -0.000017    32.850
   1.23161  0.20351 -0.02344 -2.56493  0.328876  0.010040 -0.000016    32.758
   1.24629  0.21819 -0.02407 -2.56292  0.360754  0.010325 -0.000015    34.939
   1.26103  0.23291 -0.02461 -2.56001  0.378264  0.010770 -0.000015    35.124
   1.27580  0.24767 -0.02505 -2.55818  0.408720  0.011066 -0.000014    36.935
