#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.01990  0.00043  0.00292 -1.86061  0.000052  0.000024  0.068087     2.177
   1.02167  0.00007  0.00118 -2.21176  0.000048  0.000022  0.078872     2.173
   1.02330  0.00001 -0.00045 -2.55755  0.000046  0.000021  0.078436     2.201
   1.02496  0.00027 -0.00208 -2.85722  0.000048  0.000021  0.039176     2.257
   1.02668  0.00094 -0.00367 -2.94134  0.000064  0.000026 -0.004921     2.514
   1.02852  0.00206 -0.00513 -2.82153  0.000154  0.000034 -0.003955     4.490
   1.03051  0.00360 -0.00640 -2.80259  0.000481  0.000037 -0.004070    13.116
   1.03272  0.00553 -0.00746 -2.80503  0.000963  0.000035 -0.004248    27.171
   1.03520  0.00784 -0.00836 -2.80635  0.001507  0.000034 -0.001424    44.118
   1.03807  0.01061 -0.00912 -2.80868  0.002061  0.000031 -0.000053    67.547
   1.04148  0.01396 -0.00977 -2.46552  0.120143  0.006297 -0.000036    19.078
   1.04565  0.01809 -0.01031 -2.43099  0.062190  0.007779 -0.000031     7.994
   1.05093  0.02336 -0.01076 -2.38440  0.042376  0.009111 -0.000028     4.651
   1.05787  0.03028 -0.01111 -2.36173  0.078144  0.009833 -0.000024     7.947
   1.06708  0.03949 -0.01140 -2.33046  0.087318  0.011183 -0.000022     7.808
   1.07867  0.05108 -0.01169 -2.31404  0.138892  0.012113 -0.000020    11.467
   1.09152  0.06392 -0.01214 -2.29371  0.148197  0.013578 -0.000019    10.915
   1.10463  0.07701 -0.01289 -2.28461  0.200799  0.014357 -0.000017    13.986
   1.11775  0.09008 -0.01400 -2.27215  0.205778  0.015612 -0.000016    13.181
   1.13114  0.10338 -0.01554 -2.26644  0.253975  0.016253 -0.000015    15.627
   1.14502  0.11717 -0.01712 -2.25759  0.259715  0.017372 -0.000014    14.951
   1.15917  0.13125 -0.01853 -2.25341  0.305424  0.017947 -0.000013    17.018
   1.17347  0.14550 -0.01979 -2.24707  0.314471  0.018911 -0.000013    16.629
   1.18789  0.15987 -0.02089 -2.24393  0.356907  0.019424 -0.000012    18.374
   1.20239  0.17434 -0.02186 -2.23927  0.369219  0.020252 -0.000012    18.231
   1.21697  0.18890 -0.02271 -2.23685  0.409132  0.020711 -0.000011    19.754
   1.23161  0.20351 -0.02344 -2.23339  0.425185  0.021417 -0.000011    19.853
   1.24629  0.21819 -0.02407 -2.23147  0.463193  0.021831 -0.000011    21.217
   1.26103  0.23291 -0.02461 -2.22889  0.483289  0.022426 -0.000010    21.551
   1.27580  0.24767 -0.02505 -2.22734  0.519843  0.022802 -0.000010    22.798
   1.29060  0.26248 -0.02541 -2.22541  0.543724  0.023303 -0.000010    23.333
   1.30544  0.27731 -0.02570 -2.22417  0.579683  0.023641 -0.000009    24.521
   1.32030  0.29217 -0.02591 -2.22271  0.606923  0.024060 -0.000009    25.225
   1.33519  0.30706 -0.02606 -2.22172  0.642756  0.024360 -0.000009    26.386
   1.35011  0.32197 -0.02615 -2.22064  0.673235  0.024708 -0.000009    27.248
   1.36504  0.33691 -0.02618 -2.21986  0.710118  0.024967 -0.000009    28.442
   1.38000  0.35186 -0.02615 -2.21907  0.744051  0.025247 -0.000008    29.471
   1.39497  0.36683 -0.02608 -2.21847  0.782193  0.025468 -0.000008    30.713
   1.40995  0.38182 -0.02595 -2.21791  0.819622  0.025685 -0.000008    31.911
   1.42496  0.39682 -0.02579 -2.21748  0.860101  0.025857 -0.000008    33.264
   1.43998  0.41184 -0.02558 -2.21711  0.901033  0.026015 -0.000008    34.635
   1.45501  0.42687 -0.02533 -2.21684  0.944395  0.026138 -0.000008    36.131
   1.47005  0.44191 -0.02505 -2.21661  0.988798  0.026246 -0.000008    37.675
   1.48510  0.45696 -0.02473 -2.21646  1.035432  0.026318 -0.000008    39.342
   1.50017  0.47202 -0.02438 -2.21636  1.083313  0.026370 -0.000007    41.082
   1.51524  0.48709 -0.02400 -2.21631  1.132910  0.026401 -0.000007    42.912
   1.53032  0.50217 -0.02360 -2.21631  1.184839  0.026398 -0.000007    44.884
   1.54542  0.51725 -0.02316 -2.21638  1.239591  0.026361 -0.000007    47.024
   1.56052  0.53235 -0.02271 -2.21651  1.297319  0.026288 -0.000007    49.350
   1.57562  0.54745 -0.02223 -2.21666  1.357146  0.026194 -0.000007    51.811
   1.59074  0.56255 -0.02173 -2.21687  1.420342  0.026064 -0.000007    54.495
   1.60586  0.57766 -0.02120 -2.21717  1.490197  0.025860 -0.000007    57.624
   1.62099  0.59278 -0.02066 -2.21748  1.562063  0.025640 -0.000007    60.922
   1.63612  0.60790 -0.02010 -2.21787  1.639499  0.025353 -0.000007    64.668
   1.65125  0.62303 -0.01953 -2.21828  1.720119  0.025039 -0.000007    68.698
   1.66639  0.63815 -0.01894 -2.21871  1.803815  0.024685 -0.000007    73.073
   1.68154  0.65329 -0.01833 -2.21914  1.888921  0.024318 -0.000007    77.674
   1.69668  0.66842 -0.01771 -2.21958  1.977154  0.023929 -0.000007    82.627
   1.71184  0.68356 -0.01707 -2.22006  2.071278  0.023474 -0.000007    88.237
   1.72699  0.69870 -0.01642 -2.22054  2.168089  0.023011 -0.000007    94.220
   1.74214  0.71384 -0.01576 -2.22103  2.269187  0.022507 -0.000008   100.819
   1.75730  0.72898 -0.01509 -2.22153  2.373839  0.021971 -0.000008   108.044
   1.77246  0.74412 -0.01440 -2.22211  2.491678  0.021327 -0.000008   116.831
   1.78762  0.75927 -0.01371 -2.22256  2.600442  0.020803 -0.000008   125.006
   1.80278  0.77441 -0.01300 -2.22313  2.726502  0.020122 -0.000008   135.498
   1.81794  0.78955 -0.01228 -2.22371  2.859849  0.019369 -0.000008   147.652
   1.83310  0.80470 -0.01154 -2.22430  3.002175  0.018576 -0.000008   161.613
   1.84826  0.81984 -0.01080 -2.22493  3.156202  0.017680 -0.000009   178.521
   1.86342  0.83498 -0.01004 -2.22552  3.317703  0.016829 -0.000009   197.141
   1.87858  0.85011 -0.00928 -2.22598  3.472392  0.016108 -0.000009   215.576
   1.89373  0.86525 -0.00850 -2.22638  3.633430  0.015454 -0.000009   235.120
   1.90889  0.88038 -0.00771 -2.22671  3.813420  0.014881 -0.000009   256.260
   1.92404  0.89551 -0.00690 -2.22668  3.954388  0.014937 -0.000009   264.729
   1.93918  0.91064 -0.00608 -2.22682  4.137700  0.014675 -0.000009   281.959
   1.95431  0.92575 -0.00525 -2.22686  4.315018  0.014601 -0.000009   295.537
   1.96940  0.94081 -0.00441 -2.22732  4.547517  0.013667 -0.000008   332.726
   1.98436  0.95574 -0.00356 -2.22569  4.429416  0.017009 -0.000006   260.409
   1.99885  0.97021 -0.00272 -2.22259  4.091706  0.023131 -0.000005   176.891
   2.01210  0.98344 -0.00194 -2.22045  3.899659  0.027083 -0.000005   143.988
   2.02299  0.99431 -0.00129 -2.21885  3.771152  0.029865 -0.000004   126.272
   2.02869  1.00000 -0.00095 -2.21829  3.751396  0.030845  0.000000   121.622
   2.02869  1.00010 -0.00000  1.25896  3.753714  0.032463  0.000000   115.630
   2.03439  1.00579 -0.00027  1.24673  1.027068  0.062907  0.000000    16.327
   2.04112  1.01252 -0.00058  1.24475  1.010132  0.064768  0.000000    15.596
   2.04907  1.02045 -0.00098  1.24239  1.000239  0.066668  0.000000    15.003
   2.05845  1.02982 -0.00146  1.23962  0.985267  0.068933  0.000000    14.293
   2.06952  1.04088 -0.00204  1.23611  0.961588  0.071747  0.000000    13.402
   2.08260  1.05394 -0.00276  1.23262  0.970233  0.074576  0.000000    13.010
   2.09804  1.06935 -0.00364  1.22950  1.041768  0.077292  0.000000    13.478
   2.11626  1.08754 -0.00471  1.22469  1.021921  0.081640  0.000000    12.517
   2.13778  1.10902 -0.00602  1.21794  0.931480  0.087577  0.000000    10.636
   2.16319  1.13438 -0.00761  1.21138  0.941515  0.093240  0.000000    10.098
   2.19318  1.16431 -0.00957  1.20424  0.968674  0.099512  0.000000     9.734
   2.22859  1.19964 -0.01197  1.19654  1.013858  0.106609  0.000000     9.510
   2.27040  1.24134 -0.01490  1.18894  1.119503  0.114242  0.000000     9.799
   2.31976  1.29057 -0.01850  1.17909  1.107422  0.124724  0.000000     8.879
   2.37804  1.34868 -0.02290  1.16694  1.076069  0.137715  0.000000     7.814
   2.44684  1.41727 -0.02829  1.15559  1.174079  0.150494  0.000000     7.802
   2.52807  1.49823 -0.03490  1.14277  1.283955  0.166576  0.000000     7.708
   2.62397  1.59379 -0.04298  1.12900  1.306090  0.185413  0.000000     7.044
   2.73720  1.70659 -0.05285  1.11151  1.286952  0.210501  0.000000     6.114
   2.87087  1.83972 -0.06490  1.09071  1.287923  0.241156  0.000000     5.341
   3.02869  1.99686 -0.07959  1.07223  1.543735  0.269951  0.000000     5.719
