#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00105  0.96520  0.002406  0.001318  0.001806     1.825
   0.00582  0.99426  0.00197  0.98225  0.002193  0.001228  0.002033     1.786
   0.01655  0.98366  0.00366  0.98739  0.002220  0.001193  0.001823     1.861
   0.02951  0.97086  0.00567  0.98576  0.002432  0.001190  0.001336     2.044
   0.04393  0.95660  0.00787  1.19668  0.000779  0.000563  0.007154     1.383
   0.05906  0.94165  0.01015  1.12724  0.000986  0.000654  0.005015     1.507
   0.07446  0.92641  0.01242  1.10736  0.001099  0.000669  0.003858     1.643
   0.08996  0.91107  0.01466  1.10162  0.001227  0.000661  0.002698     1.855
   0.10551  0.89569  0.01688  1.07131  0.002154  0.000738  0.000373     2.918
   0.12106  0.88028  0.01905  1.08931  0.002253  0.000676  0.000163     3.332
   0.13663  0.86487  0.02119  1.09159  0.002227  0.000668  0.000163     3.337
   0.15220  0.84944  0.02329  1.09421  0.002174  0.000658  0.000181     3.304
   0.16777  0.83401  0.02535  1.09688  0.002122  0.000648  0.000200     3.273
   0.18334  0.81857  0.02738  1.10103  0.001969  0.000634  0.000301     3.105
   0.19891  0.80312  0.02936  1.10447  0.001879  0.000622  0.000365     3.020
   0.21448  0.78767  0.03131  1.10760  0.001808  0.000611  0.000419     2.960
   0.23006  0.77222  0.03322  1.11032  0.001756  0.000601  0.000457     2.923
   0.24563  0.75676  0.03510  1.11287  0.001710  0.000591  0.000491     2.893
   0.26120  0.74130  0.03693  1.11519  0.001672  0.000582  0.000518     2.873
   0.27677  0.72583  0.03873  1.11757  0.001632  0.000573  0.000549     2.850
   0.29234  0.71036  0.04049  1.11970  0.001600  0.000564  0.000571     2.838
   0.30790  0.69489  0.04221  1.12199  0.001564  0.000555  0.000601     2.818
   0.32346  0.67942  0.04389  1.12448  0.001521  0.000545  0.000643     2.790
   0.33902  0.66395  0.04553  1.12614  0.001500  0.000537  0.000652     2.791
   0.35457  0.64848  0.04712  1.12850  0.001461  0.000528  0.000692     2.768
   0.37012  0.63301  0.04868  1.13041  0.001432  0.000519  0.000715     2.758
   0.38566  0.61754  0.05019  1.13250  0.001399  0.000510  0.000749     2.742
   0.40120  0.60208  0.05166  1.13428  0.001373  0.000502  0.000772     2.735
   0.41673  0.58662  0.05309  1.13587  0.001351  0.000494  0.000786     2.734
   0.43225  0.57116  0.05446  1.13820  0.001313  0.000484  0.000836     2.710
   0.44776  0.55570  0.05579  1.13974  0.001289  0.000476  0.000855     2.707
   0.46326  0.54025  0.05707  1.14128  0.001267  0.000468  0.000872     2.706
   0.47875  0.52481  0.05830  1.14319  0.001237  0.000459  0.000908     2.694
   0.49423  0.50937  0.05948  1.14541  0.001200  0.000450  0.000966     2.670
   0.50970  0.49394  0.06060  1.14692  0.001174  0.000441  0.000998     2.662
   0.52516  0.47852  0.06167  1.14774  0.001160  0.000434  0.000994     2.676
   0.54060  0.46311  0.06267  1.14935  0.001135  0.000425  0.001025     2.670
   0.55603  0.44771  0.06362  1.15113  0.001106  0.000416  0.001068     2.658
   0.57144  0.43233  0.06450  1.15255  0.001081  0.000407  0.001097     2.656
   0.58684  0.41695  0.06532  1.15492  0.001041  0.000397  0.001184     2.625
   0.60222  0.40160  0.06606  1.15529  0.001029  0.000389  0.001174     2.642
   0.61757  0.38625  0.06674  1.15695  0.000999  0.000380  0.001228     2.630
   0.63291  0.37093  0.06734  1.15826  0.000973  0.000371  0.001271     2.624
   0.64822  0.35563  0.06786  1.15920  0.000952  0.000362  0.001294     2.629
   0.66351  0.34034  0.06830  1.16144  0.000912  0.000351  0.001403     2.597
   0.67877  0.32509  0.06865  1.16134  0.000900  0.000344  0.001384     2.620
   0.69400  0.30986  0.06891  1.16371  0.000858  0.000332  0.001518     2.583
   0.70920  0.29466  0.06907  1.16268  0.000855  0.000325  0.001447     2.628
   0.72436  0.27950  0.06914  1.16552  0.000809  0.000313  0.001610     2.584
   0.73949  0.26437  0.06910  1.16514  0.000796  0.000305  0.001587     2.612
   0.75457  0.24929  0.06895  1.16796  0.000748  0.000292  0.001795     2.560
   0.76960  0.23426  0.06867  1.16778  0.000722  0.000282  0.001863     2.558
   0.78458  0.21929  0.06828  1.16603  0.000715  0.000274  0.001775     2.608
   0.79950  0.20438  0.06775  1.16852  0.000671  0.000261  0.001982     2.569
   0.81434  0.18955  0.06708  1.16809  0.000649  0.000251  0.002009     2.587
   0.82910  0.17482  0.06626  1.16814  0.000628  0.000240  0.001999     2.619
   0.84374  0.16020  0.06527  1.17033  0.000596  0.000227  0.002096     2.625
   0.85824  0.14576  0.06412  1.17380  0.000550  0.000212  0.002361     2.594
   0.87250  0.13156  0.06280  1.17299  0.000562  0.000202  0.001827     2.785
   0.88635  0.11779  0.06130  1.18544  0.000492  0.000182  0.002346     2.702
   0.89946  0.10478  0.05968  1.19366  0.000511  0.000168  0.001383     3.050
   0.91137  0.09300  0.05790  1.22303  0.000348  0.000139  0.004274     2.508
   0.92241  0.08219  0.05564  1.21464  0.000298  0.000125  0.005619     2.388
   0.93304  0.07194  0.05285  1.18646  0.000276  0.000116  0.005939     2.385
   0.94337  0.06214  0.04958  1.15115  0.000246  0.000106  0.006854     2.323
   0.95337  0.05285  0.04588  1.10079  0.000235  0.000099  0.006629     2.361
   0.96292  0.04419  0.04186  1.04318  0.000203  0.000091  0.008157     2.238
   0.97183  0.03632  0.03767  0.96956  0.000213  0.000088  0.006062     2.422
   0.97991  0.02941  0.03349  0.91122  0.000169  0.000076  0.008766     2.214
   0.98704  0.02351  0.02948  0.81607  0.000175  0.000075  0.006689     2.344
   0.99320  0.01860  0.02576  0.74405  0.000151  0.000067  0.007650     2.263
   0.99848  0.01457  0.02236  0.65555  0.000143  0.000062  0.006900     2.295
   1.00299  0.01127  0.01928  0.56734  0.000129  0.000057  0.006956     2.246
   1.00688  0.00857  0.01647  0.47853  0.000121  0.000052  0.005767     2.332
   1.01027  0.00637  0.01391  0.37092  0.000102  0.000048  0.006277     2.138
   1.01324  0.00457  0.01153  0.26452  0.000123  0.000052  0.003040     2.363
   1.01589  0.00312  0.00932  0.17953  0.000085  0.000038  0.003352     2.240
   1.01827  0.00197  0.00724  0.02695  0.000075  0.000034  0.000577     2.230
   1.02043  0.00109  0.00526 -0.13644  0.000075  0.000033  0.002922     2.230
   1.02241  0.00047  0.00338 -0.30444  0.000069  0.000031  0.007178     2.213
   1.02425  0.00011  0.00158 -0.49894  0.000062  0.000028  0.013179     2.205
   1.02596  0.00000 -0.00012 -0.76486  0.000051  0.000023  0.025465     2.171
   1.02765  0.00016 -0.00181 -0.92209  0.000069  0.000028  0.017359     2.439
   1.02941  0.00065 -0.00350 -1.19357  0.000049  0.000023  0.044874     2.076
   1.03124  0.00153 -0.00511 -1.31756  0.000079  0.000030  0.018626     2.591
   1.03319  0.00281 -0.00658 -1.47718  0.000063  0.000030  0.040472     2.138
   1.03527  0.00444 -0.00787 -1.43669  0.000141  0.000044  0.004418     3.217
   1.03754  0.00641 -0.00899 -1.43959  0.000119  0.000049  0.015844     2.438
   1.04005  0.00873 -0.00997 -1.39148  0.000336  0.000062 -0.001568     5.411
   1.04288  0.01142 -0.01082 -1.35374  0.000330  0.000074 -0.001002     4.455
   1.04611  0.01457 -0.01156 -1.35893  0.010611  0.000049 -0.000406   218.210
   1.04989  0.01829 -0.01222 -1.35241  0.044284  0.000160 -0.000402   276.127
   1.05442  0.02278 -0.01281 -1.35078  0.099696  0.000243 -0.000306   410.746
   1.06000  0.02833 -0.01334 -1.34922  0.124688  0.000374 -0.000199   333.747
   1.06704  0.03536 -0.01383 -1.34979  0.131467  0.000318 -0.000234   413.296
   1.07605  0.04435 -0.01433 -1.34979  0.143167  0.000346 -0.000215   413.296
   1.08713  0.05542 -0.01491 -1.34099  0.037558  0.001473 -0.000051    25.504
   1.09961  0.06787 -0.01570 -1.35142  0.094114  0.000860 -0.000087   109.471
   1.11265  0.08087 -0.01678 -1.35265  0.103350  0.000767 -0.000097   134.720
   1.12592  0.09406 -0.01823 -1.35544  0.171536  0.000449 -0.000166   382.274
   1.13961  0.10763 -0.02006 -1.35251  0.337601  0.000986 -0.000076   342.448
   1.15372  0.12163 -0.02177 -1.35077  0.492561  0.001518 -0.000049   324.430
   1.16809  0.13593 -0.02329 -1.34803  0.414665  0.002506 -0.000030   165.499
   1.18266  0.15043 -0.02464 -1.34017  0.235195  0.004753 -0.000016    49.484
   1.19737  0.16510 -0.02583 -1.33462  0.185394  0.005682 -0.000013    32.626
   1.21220  0.17989 -0.02687 -1.32662  0.130111  0.006724 -0.000011    19.350
   1.22712  0.19478 -0.02778 -1.32235  0.127388  0.007184 -0.000011    17.731
   1.24213  0.20977 -0.02855 -1.31449  0.100701  0.007960 -0.000010    12.651
   1.25720  0.22483 -0.02921 -1.30716  0.088862  0.008584 -0.000009    10.352
   1.27233  0.23995 -0.02976 -1.30043  0.084884  0.009124 -0.000009     9.303
   1.28752  0.25513 -0.03021 -1.29594  0.093525  0.009497 -0.000008     9.848
   1.30275  0.27036 -0.03056 -1.28946  0.088997  0.010053 -0.000008     8.853
   1.31803  0.28563 -0.03083 -1.29936  0.252856  0.008547 -0.000009    29.584
