#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00105  0.96623  0.002408  0.001315  0.001791     1.831
   0.00582  0.99426  0.00197  0.98344  0.002192  0.001224  0.002021     1.791
   0.01655  0.98366  0.00366  0.98876  0.002219  0.001188  0.001810     1.867
   0.02951  0.97086  0.00567  0.98733  0.002431  0.001185  0.001322     2.052
   0.04393  0.95660  0.00787  1.19780  0.000778  0.000561  0.007142     1.386
   0.05906  0.94165  0.01015  1.12847  0.000986  0.000652  0.004992     1.512
   0.07446  0.92641  0.01242  1.10863  0.001100  0.000667  0.003823     1.650
   0.08996  0.91107  0.01466  1.10290  0.001230  0.000659  0.002658     1.866
   0.10551  0.89569  0.01688  1.07333  0.002161  0.000734  0.000354     2.944
   0.12106  0.88028  0.01905  1.09032  0.002251  0.000676  0.000163     3.332
   0.13663  0.86487  0.02119  1.09262  0.002224  0.000667  0.000165     3.334
   0.15220  0.84944  0.02329  1.09525  0.002169  0.000657  0.000183     3.300
   0.16777  0.83401  0.02535  1.09793  0.002117  0.000648  0.000203     3.268
   0.18334  0.81857  0.02738  1.10209  0.001965  0.000634  0.000304     3.101
   0.19891  0.80312  0.02936  1.10553  0.001875  0.000622  0.000369     3.017
   0.21448  0.78767  0.03131  1.10866  0.001805  0.000610  0.000422     2.957
   0.23006  0.77222  0.03322  1.11136  0.001753  0.000600  0.000461     2.920
   0.24563  0.75676  0.03510  1.11390  0.001707  0.000591  0.000495     2.890
   0.26120  0.74130  0.03693  1.11622  0.001669  0.000582  0.000521     2.871
   0.27677  0.72583  0.03873  1.11859  0.001630  0.000572  0.000552     2.848
   0.29234  0.71036  0.04049  1.12071  0.001598  0.000564  0.000574     2.836
   0.30790  0.69489  0.04221  1.12298  0.001562  0.000554  0.000604     2.817
   0.32346  0.67942  0.04389  1.12546  0.001519  0.000545  0.000646     2.789
   0.33902  0.66395  0.04553  1.12711  0.001498  0.000537  0.000655     2.790
   0.35457  0.64848  0.04712  1.12946  0.001460  0.000528  0.000694     2.767
   0.37012  0.63301  0.04868  1.13136  0.001431  0.000519  0.000718     2.757
   0.38566  0.61754  0.05019  1.13344  0.001398  0.000510  0.000751     2.741
   0.40120  0.60208  0.05166  1.13522  0.001372  0.000502  0.000774     2.734
   0.41673  0.58662  0.05309  1.13681  0.001350  0.000494  0.000788     2.733
   0.43225  0.57116  0.05446  1.13913  0.001312  0.000484  0.000838     2.709
   0.44776  0.55570  0.05579  1.14066  0.001289  0.000476  0.000856     2.707
   0.46326  0.54025  0.05707  1.14220  0.001266  0.000468  0.000874     2.705
   0.47875  0.52481  0.05830  1.14410  0.001236  0.000459  0.000910     2.693
   0.49423  0.50937  0.05948  1.14631  0.001200  0.000449  0.000968     2.669
   0.50970  0.49394  0.06060  1.14782  0.001174  0.000441  0.000999     2.662
   0.52516  0.47852  0.06167  1.14863  0.001160  0.000434  0.000996     2.675
   0.54060  0.46311  0.06267  1.15024  0.001134  0.000425  0.001027     2.670
   0.55603  0.44771  0.06362  1.15202  0.001105  0.000416  0.001070     2.658
   0.57144  0.43233  0.06450  1.15344  0.001081  0.000407  0.001098     2.656
   0.58684  0.41695  0.06532  1.15581  0.001041  0.000397  0.001186     2.624
   0.60222  0.40160  0.06606  1.15617  0.001029  0.000389  0.001175     2.642
   0.61757  0.38625  0.06674  1.15784  0.000999  0.000380  0.001230     2.630
   0.63291  0.37093  0.06734  1.15914  0.000973  0.000371  0.001272     2.625
   0.64822  0.35563  0.06786  1.16008  0.000952  0.000362  0.001295     2.629
   0.66351  0.34034  0.06830  1.16232  0.000912  0.000351  0.001404     2.597
   0.67877  0.32509  0.06865  1.16222  0.000900  0.000344  0.001385     2.620
   0.69400  0.30986  0.06891  1.16459  0.000858  0.000332  0.001519     2.584
   0.70920  0.29466  0.06907  1.16357  0.000855  0.000325  0.001448     2.628
   0.72436  0.27950  0.06914  1.16641  0.000809  0.000313  0.001611     2.585
   0.73949  0.26437  0.06910  1.16604  0.000796  0.000305  0.001588     2.612
   0.75457  0.24929  0.06895  1.16887  0.000748  0.000292  0.001796     2.561
   0.76960  0.23426  0.06867  1.16869  0.000722  0.000282  0.001864     2.559
   0.78458  0.21929  0.06828  1.16695  0.000715  0.000274  0.001776     2.609
   0.79950  0.20438  0.06775  1.16945  0.000671  0.000261  0.001983     2.569
   0.81434  0.18955  0.06708  1.16903  0.000649  0.000251  0.002010     2.587
   0.82910  0.17482  0.06626  1.16910  0.000628  0.000240  0.001999     2.619
   0.84374  0.16020  0.06527  1.17131  0.000596  0.000227  0.002096     2.626
   0.85824  0.14576  0.06412  1.17480  0.000550  0.000212  0.002360     2.594
   0.87250  0.13156  0.06280  1.17401  0.000563  0.000202  0.001827     2.785
   0.88635  0.11779  0.06130  1.18650  0.000492  0.000182  0.002344     2.703
   0.89946  0.10478  0.05968  1.19478  0.000511  0.000168  0.001382     3.051
   0.91137  0.09300  0.05790  1.22419  0.000348  0.000139  0.004276     2.508
   0.92241  0.08219  0.05564  1.21585  0.000298  0.000125  0.005624     2.388
   0.93304  0.07194  0.05285  1.18769  0.000276  0.000116  0.005945     2.385
   0.94337  0.06214  0.04958  1.15241  0.000246  0.000106  0.006860     2.323
   0.95337  0.05285  0.04588  1.10207  0.000235  0.000099  0.006638     2.361
   0.96292  0.04419  0.04186  1.04447  0.000203  0.000091  0.008165     2.238
   0.97183  0.03632  0.03767  0.97089  0.000213  0.000088  0.006071     2.422
   0.97991  0.02941  0.03349  0.91258  0.000169  0.000076  0.008778     2.215
   0.98704  0.02351  0.02948  0.81746  0.000175  0.000075  0.006700     2.344
   0.99320  0.01860  0.02576  0.74549  0.000151  0.000067  0.007663     2.264
   0.99848  0.01457  0.02236  0.65700  0.000143  0.000062  0.006918     2.295
   1.00299  0.01127  0.01928  0.56885  0.000129  0.000057  0.006969     2.247
   1.00688  0.00857  0.01647  0.48008  0.000121  0.000052  0.005790     2.332
   1.01027  0.00637  0.01391  0.37250  0.000102  0.000048  0.006297     2.138
   1.01324  0.00457  0.01153  0.26618  0.000123  0.000052  0.003062     2.363
   1.01589  0.00312  0.00932  0.18119  0.000085  0.000038  0.003381     2.241
   1.01827  0.00197  0.00724  0.02865  0.000075  0.000034  0.000614     2.230
   1.02043  0.00109  0.00526 -0.13466  0.000075  0.000034  0.002883     2.230
   1.02241  0.00047  0.00338 -0.30265  0.000069  0.000031  0.007137     2.213
   1.02425  0.00011  0.00158 -0.49715  0.000062  0.000028  0.013132     2.206
   1.02596  0.00000 -0.00012 -0.76313  0.000051  0.000023  0.025414     2.171
   1.02765  0.00016 -0.00181 -0.92038  0.000069  0.000028  0.017322     2.439
   1.02941  0.00065 -0.00350 -1.19212  0.000048  0.000023  0.044858     2.076
   1.03124  0.00153 -0.00511 -1.31642  0.000078  0.000030  0.018619     2.591
   1.03319  0.00281 -0.00658 -1.47655  0.000063  0.000030  0.040527     2.137
   1.03527  0.00444 -0.00787 -1.43637  0.000141  0.000044  0.004450     3.214
   1.03754  0.00641 -0.00899 -1.44014  0.000118  0.000049  0.015999     2.434
   1.04005  0.00873 -0.00997 -1.39155  0.000334  0.000062 -0.001569     5.372
   1.04288  0.01142 -0.01082 -1.35341  0.000325  0.000074 -0.000933     4.381
   1.04611  0.01457 -0.01156 -1.35862  0.010603  0.000049 -0.000406   218.594
   1.04989  0.01829 -0.01222 -1.35208  0.044273  0.000161 -0.000402   275.644
   1.05442  0.02278 -0.01281 -1.35046  0.099684  0.000243 -0.000307   410.975
   1.06000  0.02833 -0.01334 -1.34890  0.124672  0.000373 -0.000199   333.849
   1.06704  0.03536 -0.01383 -1.34947  0.131446  0.000318 -0.000234   413.356
   1.07605  0.04435 -0.01433 -1.34947  0.143149  0.000346 -0.000215   413.358
   1.08713  0.05542 -0.01491 -1.34068  0.037528  0.001473 -0.000051    25.483
   1.09961  0.06787 -0.01570 -1.35110  0.094082  0.000860 -0.000087   109.426
   1.11265  0.08087 -0.01678 -1.35234  0.103312  0.000767 -0.000097   134.653
   1.12592  0.09406 -0.01823 -1.35512  0.171476  0.000449 -0.000166   382.129
   1.13961  0.10763 -0.02006 -1.35220  0.337527  0.000986 -0.000076   342.470
   1.15372  0.12163 -0.02177 -1.35045  0.492501  0.001518 -0.000049   324.450
   1.16809  0.13593 -0.02329 -1.34772  0.414606  0.002506 -0.000030   165.466
   1.18266  0.15043 -0.02464 -1.33985  0.235132  0.004754 -0.000016    49.461
   1.19737  0.16510 -0.02583 -1.33430  0.185327  0.005684 -0.000013    32.605
   1.21220  0.17989 -0.02687 -1.32629  0.130038  0.006727 -0.000011    19.332
   1.22712  0.19478 -0.02778 -1.32202  0.127311  0.007187 -0.000011    17.713
   1.24213  0.20977 -0.02855 -1.31414  0.100618  0.007964 -0.000010    12.634
   1.25720  0.22483 -0.02921 -1.30681  0.088774  0.008588 -0.000009    10.337
   1.27233  0.23995 -0.02976 -1.30007  0.084791  0.009129 -0.000009     9.288
   1.28752  0.25513 -0.03021 -1.29556  0.093430  0.009503 -0.000008     9.832
   1.30275  0.27036 -0.03056 -1.28907  0.088897  0.010060 -0.000008     8.837
   1.31803  0.28563 -0.03083 -1.29897  0.252785  0.008553 -0.000009    29.554
   1.33335  0.30095 -0.03101 -1.29733  0.261868  0.008901 -0.000008    29.419
   1.34869  0.31629 -0.03112 -1.29614  0.279476  0.009165 -0.000008    30.493
   1.36407  0.33167 -0.03116 -1.29491  0.295723  0.009457 -0.000008    31.271
   1.37948  0.34708 -0.03113 -1.29360  0.309963  0.009783 -0.000007    31.683
   1.39492  0.36252 -0.03104 -1.29215  0.320775  0.010159 -0.000007    31.575
   1.41038  0.37798 -0.03089 -1.27658  0.104350  0.013221 -0.000006     7.893
   1.42586  0.39346 -0.03068 -1.27201  0.111453  0.013704 -0.000006     8.133
   1.44137  0.40896 -0.03043 -1.26724  0.114927  0.014234 -0.000006     8.074
   1.45689  0.42448 -0.03012 -1.26293  0.120259  0.014733 -0.000005     8.162
   1.47243  0.44002 -0.02978 -1.25886  0.125692  0.015227 -0.000005     8.255
   1.48799  0.45558 -0.02939 -1.25503  0.131344  0.015713 -0.000005     8.359
   1.50357  0.47114 -0.02896 -1.25160  0.138752  0.016170 -0.000005     8.581
   1.51916  0.48673 -0.02849 -1.24872  0.149279  0.016577 -0.000005     9.005
   1.53476  0.50232 -0.02799 -1.26166  1.067645  0.007281 -0.000010   146.639
   1.55037  0.51793 -0.02746 -1.26121  1.090036  0.007669 -0.000009   142.130
   1.56600  0.53354 -0.02689 -1.26069  1.113595  0.008129 -0.000009   136.984
   1.58164  0.54917 -0.02630 -1.26003  1.130150  0.008728 -0.000008   129.483
   1.59728  0.56480 -0.02568 -1.25930  1.144238  0.009398 -0.000007   121.758
   1.61294  0.58044 -0.02504 -1.26218  1.550396  0.006082 -0.000011   254.901
   1.62860  0.59609 -0.02437 -1.26143  1.580612  0.007016 -0.000010   225.300
   1.64427  0.61175 -0.02368 -1.26281  1.966038  0.004997 -0.000014   393.426
   1.65995  0.62741 -0.02297 -1.26243  2.213449  0.005624 -0.000012   393.598
   1.67564  0.64308 -0.02224 -1.26188  2.637808  0.006680 -0.000010   394.892
   1.69133  0.65875 -0.02148 -1.26139  3.115857  0.007816 -0.000009   398.637
   1.70702  0.67443 -0.02071 -1.26089  3.544939  0.009129 -0.000008   388.333
   1.72272  0.69011 -0.01993 -1.26088  4.058342  0.009157 -0.000008   443.172
   1.73842  0.70579 -0.01912 -1.26079  4.533142  0.009469 -0.000007   478.739
   1.75413  0.72147 -0.01830 -1.26047  4.917724  0.010665 -0.000007   461.110
   1.76984  0.73716 -0.01746 -1.26021  5.309764  0.011721 -0.000006   453.031
   1.78554  0.75284 -0.01661 -1.26003  5.724193  0.012505 -0.000006   457.738
   1.80125  0.76853 -0.01574 -1.25983  6.118136  0.013454 -0.000005   454.738
   1.81697  0.78422 -0.01486 -1.25968  6.529073  0.014206 -0.000005   459.603
   1.83268  0.79990 -0.01396 -1.25948  6.904174  0.015307 -0.000005   451.054
   1.84839  0.81559 -0.01305 -1.25934  7.305041  0.016091 -0.000004   453.971
   1.86410  0.83127 -0.01212 -1.25920  7.697918  0.016946 -0.000004   454.264
   1.87980  0.84695 -0.01118 -1.25909  8.109173  0.017613 -0.000004   460.406
   1.89551  0.86262 -0.01022 -1.25896  8.500128  0.018509 -0.000004   459.247
   1.91121  0.87829 -0.00925 -1.25887  8.917845  0.019103 -0.000004   466.833
   1.92690  0.89396 -0.00825 -1.25900  9.492345  0.018163 -0.000004   522.608
   1.94258  0.90960 -0.00725 -1.25892  9.931981  0.018750 -0.000004   529.692
   1.95822  0.92521 -0.00622 -1.25888 10.392035  0.019136 -0.000004   543.049
   1.97376  0.94071 -0.00519 -1.25718  9.463185  0.033460 -0.000002   282.817
   1.98902  0.95594 -0.00416 -1.25714  9.732976  0.033793 -0.000002   288.020
   2.00356  0.97044 -0.00315 -1.25863 11.284890  0.020546 -0.000003   549.247
   2.01660  0.98345 -0.00224 -1.25938 12.343499  0.013153 -0.000005   938.424
   2.02737  0.99419 -0.00147 -1.25992 13.358425  0.007175 -0.000010  1861.713
   2.03319  1.00000 -0.00105 -1.26026 14.235302  0.003017 -0.000023  4718.479
   2.03319  1.00010 -0.00000  0.69750 14.239793  0.004336  0.000000  3284.016
   2.03901  1.00591 -0.00025  0.69646  9.459009  0.056532  0.000000   167.322
   2.04587  1.01277 -0.00048  0.69675  9.963902  0.052417  0.000000   190.089
   2.05396  1.02085 -0.00073  0.69708 10.567441  0.047555  0.000000   222.214
   2.06350  1.03039 -0.00098  0.69745 11.309773  0.041641  0.000000   271.600
   2.07474  1.04163 -0.00124  0.69780 12.331858  0.035710  0.000000   345.335
   2.08800  1.05488 -0.00150  0.69798 13.409058  0.032197  0.000000   416.468
   2.10363  1.07051 -0.00175  0.69752 13.423692  0.041261  0.000000   325.339
   2.12206  1.08894 -0.00199  0.69745 13.423242  0.042663  0.000000   314.634
   2.14378  1.11066 -0.00219  0.69605 11.997544  0.069811  0.000000   171.858
   2.16940  1.13628 -0.00235  0.69594 11.996785  0.071625  0.000000   167.495
   2.19960  1.16648 -0.00242  0.69707 21.470507  0.008598  0.000000  2497.234
   2.23521  1.20209 -0.00237  0.69709 29.687016  0.007961  0.000000  3729.273
   2.27720  1.24408 -0.00215  0.69715 52.164116  0.004049  0.000000 12883.295
   2.32670  1.29358 -0.00170  0.69712101.277550  0.006673  0.000000 15176.333
   2.38506  1.35194 -0.00095  0.69713269.460114  0.003225  0.000000 83564.586
   2.45388  1.42074  0.00021  0.69706564.047058  0.203284  0.000000  2774.668
   2.53501  1.50185  0.00189  0.69707**********  0.003870  0.000000542637.438
   2.63066  1.59748  0.00425  0.69705********** 52.916946  0.000000    60.092
   2.74344  1.71021  0.00746  0.69709**********  0.042923  0.000000213025.297
   2.87642  1.84312  0.01176  0.69705********** 21.426340  0.000000   372.288
   3.03319  1.99979  0.01740  0.69749**********  1.095162  0.000000  9202.988
