#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00105  0.96530  0.002410  0.001326  0.001826     1.818
   0.00582  0.99426  0.00197  0.98264  0.002192  0.001234  0.002062     1.777
   0.01655  0.98366  0.00366  0.98786  0.002215  0.001198  0.001860     1.849
   0.02951  0.97086  0.00567  0.98594  0.002423  0.001197  0.001376     2.025
   0.04393  0.95660  0.00787  1.19778  0.000780  0.000566  0.007200     1.379
   0.05906  0.94165  0.01015  1.12824  0.000985  0.000657  0.005078     1.500
   0.07446  0.92641  0.01242  1.10834  0.001094  0.000671  0.003940     1.630
   0.08996  0.91107  0.01466  1.10260  0.001217  0.000663  0.002789     1.835
   0.10551  0.89569  0.01688  1.07054  0.002129  0.000744  0.000417     2.860
   0.12106  0.88028  0.01905  1.09051  0.002242  0.000676  0.000169     3.318
   0.13663  0.86487  0.02119  1.09274  0.002222  0.000667  0.000167     3.329
   0.15220  0.84944  0.02329  1.09534  0.002171  0.000658  0.000183     3.300
   0.16777  0.83401  0.02535  1.09799  0.002119  0.000648  0.000201     3.270
   0.18334  0.81857  0.02738  1.10214  0.001968  0.000634  0.000302     3.104
   0.19891  0.80312  0.02936  1.10557  0.001879  0.000622  0.000366     3.020
   0.21448  0.78767  0.03131  1.10869  0.001808  0.000611  0.000419     2.960
   0.23006  0.77222  0.03322  1.11140  0.001756  0.000601  0.000457     2.923
   0.24563  0.75676  0.03510  1.11395  0.001710  0.000591  0.000491     2.893
   0.26120  0.74130  0.03693  1.11627  0.001672  0.000582  0.000518     2.874
   0.27677  0.72583  0.03873  1.11865  0.001633  0.000573  0.000549     2.851
   0.29234  0.71036  0.04049  1.12079  0.001601  0.000564  0.000571     2.838
   0.30790  0.69489  0.04221  1.12307  0.001564  0.000555  0.000601     2.819
   0.32346  0.67942  0.04389  1.12556  0.001521  0.000545  0.000643     2.791
   0.33902  0.66395  0.04553  1.12723  0.001500  0.000537  0.000652     2.792
   0.35457  0.64848  0.04712  1.12959  0.001461  0.000528  0.000691     2.768
   0.37012  0.63301  0.04868  1.13150  0.001433  0.000519  0.000715     2.759
   0.38566  0.61754  0.05019  1.13360  0.001400  0.000510  0.000749     2.743
   0.40120  0.60208  0.05166  1.13539  0.001373  0.000502  0.000772     2.735
   0.41673  0.58662  0.05309  1.13698  0.001351  0.000494  0.000786     2.735
   0.43225  0.57116  0.05446  1.13931  0.001313  0.000484  0.000835     2.710
   0.44776  0.55570  0.05579  1.14086  0.001290  0.000476  0.000854     2.708
   0.46326  0.54025  0.05707  1.14241  0.001267  0.000468  0.000872     2.707
   0.47875  0.52481  0.05830  1.14432  0.001238  0.000459  0.000908     2.695
   0.49423  0.50937  0.05948  1.14655  0.001201  0.000450  0.000965     2.670
   0.50970  0.49394  0.06060  1.14806  0.001175  0.000441  0.000997     2.663
   0.52516  0.47852  0.06167  1.14889  0.001161  0.000434  0.000993     2.676
   0.54060  0.46311  0.06267  1.15051  0.001135  0.000425  0.001025     2.671
   0.55603  0.44771  0.06362  1.15230  0.001106  0.000416  0.001068     2.659
   0.57144  0.43233  0.06450  1.15373  0.001082  0.000407  0.001096     2.656
   0.58684  0.41695  0.06532  1.15611  0.001042  0.000397  0.001183     2.625
   0.60222  0.40160  0.06606  1.15649  0.001030  0.000390  0.001173     2.643
   0.61757  0.38625  0.06674  1.15817  0.001000  0.000380  0.001228     2.631
   0.63291  0.37093  0.06734  1.15949  0.000974  0.000371  0.001270     2.625
   0.64822  0.35563  0.06786  1.16044  0.000953  0.000362  0.001293     2.630
   0.66351  0.34034  0.06830  1.16269  0.000913  0.000351  0.001401     2.598
   0.67877  0.32509  0.06865  1.16261  0.000901  0.000344  0.001383     2.621
   0.69400  0.30986  0.06891  1.16499  0.000859  0.000332  0.001517     2.584
   0.70920  0.29466  0.06907  1.16400  0.000855  0.000325  0.001446     2.629
   0.72436  0.27950  0.06914  1.16685  0.000810  0.000313  0.001609     2.585
   0.73949  0.26437  0.06910  1.16650  0.000796  0.000305  0.001586     2.613
   0.75457  0.24929  0.06895  1.16934  0.000748  0.000292  0.001793     2.561
   0.76960  0.23426  0.06867  1.16919  0.000722  0.000282  0.001862     2.559
   0.78458  0.21929  0.06828  1.16747  0.000715  0.000274  0.001774     2.609
   0.79950  0.20438  0.06775  1.16999  0.000671  0.000261  0.001980     2.570
   0.81434  0.18955  0.06708  1.16961  0.000649  0.000251  0.002007     2.588
   0.82910  0.17482  0.06626  1.16970  0.000629  0.000240  0.001996     2.620
   0.84374  0.16020  0.06527  1.17194  0.000596  0.000227  0.002094     2.627
   0.85824  0.14576  0.06412  1.17547  0.000551  0.000212  0.002357     2.595
   0.87250  0.13156  0.06280  1.17474  0.000563  0.000202  0.001823     2.787
   0.88635  0.11779  0.06130  1.18727  0.000492  0.000182  0.002339     2.705
   0.89946  0.10478  0.05968  1.19562  0.000511  0.000168  0.001378     3.052
   0.91137  0.09300  0.05790  1.22510  0.000348  0.000139  0.004275     2.508
   0.92241  0.08219  0.05564  1.21681  0.000298  0.000125  0.005624     2.389
   0.93304  0.07194  0.05285  1.18872  0.000276  0.000116  0.005945     2.385
   0.94337  0.06214  0.04958  1.15351  0.000247  0.000106  0.006862     2.323
   0.95337  0.05285  0.04588  1.10324  0.000235  0.000099  0.006642     2.361
   0.96292  0.04419  0.04186  1.04571  0.000203  0.000091  0.008167     2.238
   0.97183  0.03632  0.03767  0.97220  0.000213  0.000088  0.006079     2.422
   0.97991  0.02941  0.03349  0.91393  0.000169  0.000076  0.008781     2.215
   0.98704  0.02351  0.02948  0.81896  0.000176  0.000075  0.006709     2.344
   0.99320  0.01860  0.02576  0.74705  0.000151  0.000067  0.007672     2.264
   0.99848  0.01457  0.02236  0.65865  0.000143  0.000062  0.006931     2.295
   1.00299  0.01127  0.01928  0.57065  0.000129  0.000057  0.006979     2.248
   1.00688  0.00857  0.01647  0.48197  0.000121  0.000052  0.005815     2.331
   1.01027  0.00637  0.01391  0.37448  0.000103  0.000048  0.006316     2.138
   1.01324  0.00457  0.01153  0.26831  0.000123  0.000052  0.003089     2.362
   1.01589  0.00312  0.00932  0.18337  0.000085  0.000038  0.003413     2.242
   1.01827  0.00197  0.00724  0.03104  0.000075  0.000034  0.000659     2.230
   1.02043  0.00109  0.00526 -0.13217  0.000075  0.000034  0.002835     2.230
   1.02241  0.00047  0.00338 -0.29999  0.000069  0.000031  0.007075     2.213
   1.02425  0.00011  0.00158 -0.49442  0.000062  0.000028  0.013068     2.206
